"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","123","12","Reactome Pathways","","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","1.61E-8","APOB|IGFBP2|APOA1|C3|CP|IGFBP1|PLG|FGG|ITIH2|SERPINC1|GPC3|SPARCL1","2530","2583|2580|2581|2632|2620|2605|2575|2566|2545|2564|2587|2541","","HSA-381426","0"
"1","106","10","Reactome Pathways","","Post-translational protein phosphorylation","4.66E-7","APOB|APOA1|C3|CP|IGFBP1|FGG|ITIH2|SERPINC1|GPC3|SPARCL1","2530","2583|2581|2632|2620|2605|2566|2545|2564|2587|2541","","HSA-8957275","0"
"2","2505","42","GO Component","","extracellular region","5.67E-7","CA11|PON1|WNT16|VTN|PF4V1|APOB|IGFBP2|PLEK|APOA1|TEX14|C3|CP|WNT2|ITIH1|IGFBP1|SEMA3D|S100P|LIPC|AMN|FGB|PLG|KLK10|COL4A5|HBB|FGG|ARG1|ITIH2|BRINP2|SERPINC1|S100A8|S100A9|IGSF1|ANGPTL3|HSPA1B|ARHGAP9|GPC3|FGL1|PSG4|ADM5|SPARCL1|ITIH3|GC","2530","2593|2611|2559|2616|2555|2583|2580|2544|2581|2648|2632|2620|2562|2589|2605|2606|2661|2614|2567|2578|2575|2561|2603|2560|2566|2627|2545|2654|2564|2628|2641|2588|2542|2568|2585|2587|2650|2579|2640|2541|2662|2631","","GO.0005576","0"
"3","1813","33","UniProt Keywords","","Secreted","5.57E-6","CA11|PON1|WNT16|VTN|PF4V1|APOB|IGFBP2|APOA1|C3|CP|WNT2|ITIH1|IGFBP1|SEMA3D|LIPC|FGB|PLG|KLK10|COL4A5|FGG|ITIH2|BRINP2|SERPINC1|S100A8|S100A9|IGSF1|ANGPTL3|FGL1|PSG4|ADM5|SPARCL1|ITIH3|GC","2530","2593|2611|2559|2616|2555|2583|2580|2581|2632|2620|2562|2589|2605|2606|2614|2578|2575|2561|2603|2566|2545|2654|2564|2628|2641|2588|2542|2650|2579|2640|2541|2662|2631","","KW-0964","0"
"4","1134","25","GO Component","","extracellular space","6.6E-6","PON1|WNT16|VTN|PF4V1|APOB|IGFBP2|APOA1|C3|CP|WNT2|IGFBP1|SEMA3D|LIPC|AMN|FGB|PLG|HBB|FGG|ARG1|SERPINC1|S100A8|S100A9|ANGPTL3|GPC3|FGL1","2530","2611|2559|2616|2555|2583|2580|2581|2632|2620|2562|2605|2606|2614|2567|2578|2575|2560|2566|2627|2564|2628|2641|2542|2587|2650","","GO.0005615","0"
"5","1375","28","GO Component","","extracellular region part","6.6E-6","PON1|WNT16|VTN|PF4V1|APOB|IGFBP2|APOA1|TEX14|C3|CP|WNT2|IGFBP1|SEMA3D|LIPC|AMN|FGB|PLG|COL4A5|HBB|FGG|ARG1|SERPINC1|S100A8|S100A9|ANGPTL3|GPC3|FGL1|SPARCL1","2530","2611|2559|2616|2555|2583|2580|2581|2648|2632|2620|2562|2605|2606|2614|2567|2578|2575|2603|2560|2566|2627|2564|2628|2641|2542|2587|2650|2541","","GO.0044421","0"
"6","299","13","GO Component","","endoplasmic reticulum lumen","8.0E-6","VTN|APOB|APOA1|C3|CP|IGFBP1|LIPC|COL4A5|FGG|ITIH2|SERPINC1|GPC3|SPARCL1","2530","2616|2583|2581|2632|2620|2605|2614|2603|2566|2545|2564|2587|2541","","GO.0005788","0"
"7","340","13","GO Component","","cytoplasmic vesicle lumen","2.64E-5","APOB|APOA1|C3|S100P|FGB|PLG|HBB|FGG|ARG1|S100A8|S100A9|ARHGAP9|ITIH3","2530","2583|2581|2632|2661|2578|2575|2560|2566|2627|2628|2641|2585|2662","","GO.0060205","0"
"8","19","5","Reactome Pathways","","Regulation of TLR by endogenous ligand","3.47E-5","APOB|FGB|FGG|S100A8|S100A9","2530","2583|2578|2566|2628|2641","","HSA-5686938","0"
"9","33","5","Reactome Pathways","","Gluconeogenesis","2.9E-4","G6PC|PCK1|ALDOB|FBP1|ENSP00000461324","2530","2550|2590|2577|2556|2565","","HSA-70263","0"
