"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","1375","29","GO Component","","extracellular region part","4.73E-6","PON1|APOB|APOA1|WNT2|SEMA3D|GDF6|AMN|IGF1|CYTL1|FGB|VASN|PLG|GSTM1|HBB|FGG|ARG1|SERPINC1|F5|S100A8|S100A9|ANGPTL3|WISP2|SPOCK2|LAMB4|NRG4|SPP1|LGALS9|COL4A3|FGL1","1124","1210|1184|1182|1154|1205|1206|1167|1230|1209|1181|1158|1177|1203|1152|1162|1224|1159|1157|1225|1237|1135|1137|1246|1172|1169|1200|1202|1221|1245","","GO.0044421","0"
"1","1134","25","GO Component","","extracellular space","1.26E-5","PON1|APOB|APOA1|WNT2|SEMA3D|GDF6|AMN|IGF1|CYTL1|FGB|VASN|PLG|HBB|FGG|ARG1|SERPINC1|F5|S100A8|S100A9|ANGPTL3|WISP2|NRG4|SPP1|LGALS9|FGL1","1124","1210|1184|1182|1154|1205|1206|1167|1230|1209|1181|1158|1177|1152|1162|1224|1159|1157|1225|1237|1135|1137|1169|1200|1202|1245","","GO.0005615","0"
"2","1779","34","GO Process","","small molecule metabolic process","1.91E-5","PON1|APOB|APOA1|G6PC|HAL|ALDH1L1|HGD|HPD|ALDH1A1|AMN|IGF1|PCK1|MYH7|TAT|ARG1|POX2|CES1|HMGCS2|ANGPTL3|CYP2C8|MAT1A|GNMT|SPOCK2|ALDOB|HSPA1B|RGN|FBP1|PDE1A|GC|ELOVL7|CEBPA|PAH|ENSP00000461324|UPP2","1124","1210|1184|1182|1136|1242|1222|1153|1232|1250|1167|1230|1188|1175|1219|1224|1257|1235|1170|1135|1212|1201|1142|1246|1180|1171|1248|1143|1239|1227|1156|1193|1238|1160|1139","","GO.0044281","0"
"3","622","19","GO Process","","drug metabolic process","3.92E-5","HAL|ALDH1L1|HGD|HPD|ALDH1A1|AMN|IGF1|HBB|MYH7|TAT|HMGCS2|CYP2C8|MAT1A|GNMT|ALDOB|HSPA1B|GRIN2A|SATL1|PAH","1124","1242|1222|1153|1232|1250|1167|1230|1152|1175|1219|1170|1212|1201|1142|1180|1171|1216|1217|1238","","GO.0017144","0"
"4","340","13","GO Component","","cytoplasmic vesicle lumen","5.16E-5","APOB|APOA1|S100P|IGF1|FGB|PLG|HBB|FGG|ARG1|F5|S100A8|S100A9|ARHGAP9","1124","1184|1182|1256|1230|1181|1177|1152|1162|1224|1157|1225|1237|1185","","GO.0060205","0"
"5","2505","37","GO Component","","extracellular region","5.87E-5","PON1|APOB|APOA1|WNT2|SEMA3D|GDF6|S100P|AMN|IGF1|CYTL1|FGB|VASN|PLG|GSTM1|PGA3|HBB|FGG|ARG1|SERPINC1|F5|S100A8|S100A9|ANGPTL3|WISP2|SPOCK2|HSPA1B|LAMB4|ARHGAP9|NRG4|SPP1|LGALS9|COL4A3|RGN|FGL1|GC|NCAM1|HIST1H4L","1124","1210|1184|1182|1154|1205|1206|1256|1167|1230|1209|1181|1158|1177|1203|1141|1152|1162|1224|1159|1157|1225|1237|1135|1137|1246|1171|1172|1185|1169|1200|1202|1221|1248|1245|1227|1134|1164","","GO.0005576","0"
"6","6","4","UniProt Keywords","","Phenylalanine catabolism","7.95E-5","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","KW-0585","0"
"7","19","5","Reactome Pathways","","Regulation of TLR by endogenous ligand","1.2E-4","APOB|FGB|FGG|S100A8|S100A9","1124","1184|1181|1162|1225|1237","","HSA-5686938","0"
"8","123","8","Reactome Pathways","","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","3.3E-4","APOB|APOA1|IGF1|PLG|FGG|SERPINC1|F5|SPP1","1124","1184|1182|1230|1177|1162|1159|1157|1200","","HSA-381426","0"
"9","11","4","Reactome Pathways","","Phenylalanine and tyrosine catabolism","3.3E-4","HGD|HPD|TAT|PAH","1124","1153|1232|1219|1238","","HSA-71182","0"
"10","33","5","Reactome Pathways","","Gluconeogenesis","3.4E-4","G6PC|PCK1|ALDOB|FBP1|ENSP00000461324","1124","1136|1188|1180|1143|1160","","HSA-70263","0"
"11","98","8","GO Process","","alpha-amino acid catabolic process","4.1E-4","HAL|HGD|HPD|TAT|ARG1|POX2|MAT1A|PAH","1124","1242|1153|1232|1219|1224|1257|1201|1238","","GO.1901606","0"
"12","323","11","GO Component","","secretory granule lumen","6.0E-4","APOA1|S100P|IGF1|FGB|PLG|FGG|ARG1|F5|S100A8|S100A9|ARHGAP9","1124","1182|1256|1230|1181|1177|1162|1224|1157|1225|1237|1185","","GO.0034774","0"
