"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","10","6","UniProt Keywords","","Thrombophilia","8.77E-8","HRG|PROC|F2|PLG|SERPINC1|F5","52","164|63|117|91|79|77","","KW-0792","0"
"1","22","7","Reactome Pathways","","Common Pathway of Fibrin Clot Formation","1.21E-7","PF4V1|PROC|FGB|F2|FGG|SERPINC1|F5","52","71|63|98|117|81|79|77","","HSA-140875","0"
"2","46","8","UniProt Keywords","","Blood coagulation","1.6E-7","HRG|PROC|FGB|F2|PLG|FGG|SERPINC1|F5","52","164|63|98|117|91|81|79|77","","KW-0094","0"
"3","78","9","KEGG Pathways","","Complement and coagulation cascades","3.69E-7","VTN|PROC|FGB|F2|PLG|FGG|SERPINC1|F5|ITGAX","52","121|63|98|117|91|81|79|77|144","","hsa04610","0"
"4","77","9","GO Process","","regulation of blood coagulation","8.08E-6","VTN|HRG|PROC|FGB|F2|PLG|FGG|SERPINC1|S100A9","52","121|164|63|98|117|91|81|79|153","","GO.0030193","0"
"5","6","4","UniProt Keywords","","Phenylalanine catabolism","1.68E-5","HGD|HPD|TAT|PAH","52","75|150|131|154","","KW-0585","0"
"6","48","7","GO Process","","negative regulation of blood coagulation","3.12E-5","VTN|HRG|PROC|FGB|F2|PLG|FGG","52","121|164|63|98|117|91|81","","GO.0030195","0"
"7","291","13","GO Process","","positive regulation of response to external stimulus","3.12E-5","CXCL6|PF4V1|HRG|BMP6|F2|PLG|ARG1|S100A14|S100A8|S100A9|IRG1|IL33|PGF","52","126|71|164|167|117|91|134|158|136|153|146|138|110","","GO.0032103","0"
"8","1134","24","GO Component","","extracellular space","4.05E-5","PON1|VTN|CXCL6|PF4V1|PROC|APOA1|CP|BMP6|AMN|FGB|F2|PLG|FGG|ARG1|SERPINC1|F5|S100A8|S100A9|IL13RA2|FLRT3|IL33|NRG4|FGL1|PGF","52","119|121|126|71|63|99|129|167|84|98|117|91|81|134|79|77|136|153|181|122|138|86|162|110","","GO.0005615","0"
"9","1375","26","GO Component","","extracellular region part","4.81E-5","PON1|VTN|CXCL6|PF4V1|PROC|APOA1|CP|BMP6|PKNOX2|AMN|FGB|F2|PLG|FGG|ARG1|SERPINC1|F5|S100A8|S100A9|IL13RA2|SPOCK2|FLRT3|IL33|NRG4|FGL1|PGF","52","119|121|126|71|63|99|129|167|175|84|98|117|91|81|134|79|77|136|153|181|165|122|138|86|162|110","","GO.0044421","0"
"10","732","19","GO Process","","regulation of response to external stimulus","4.99E-5","VTN|CXCL6|PF4V1|HRG|PROC|APOA1|BMP6|FGB|F2|PLG|FGG|ARG1|SERPINC1|S100A14|S100A8|S100A9|IRG1|IL33|PGF","52","121|126|71|164|63|99|167|98|117|91|81|134|79|158|136|153|146|138|110","","GO.0032101","0"
"11","1813","29","UniProt Keywords","","Secreted","8.14E-5","PON1|VTN|CXCL6|PF4V1|HRG|PROC|APOA1|CHL1|CP|NTN5|BMP6|FGB|F2|PLG|FGG|HHIPL2|SERPINC1|F5|S100A8|S100A9|SPOCK2|FLRT3|IL33|NRG4|FGL1|OAS1|THSD7A|GC|PGF","52","119|121|126|71|164|63|99|78|129|112|167|98|117|91|81|69|79|77|136|153|165|122|138|86|162|157|67|143|110","","KW-0964","0"
"12","2505","36","GO Component","","extracellular region","8.56E-5","UNC13D|PON1|VTN|CXCL6|PF4V1|HRG|PROC|APOA1|CP|NTN5|BMP6|S100P|PKNOX2|AMN|FGB|F2|PLG|FGG|HHIPL2|ARG1|SERPINC1|F5|S100A8|S100A9|IL13RA2|SPOCK2|LYPD5|FLRT3|IL33|NRG4|RGN|FGL1|OAS1|THSD7A|GC|PGF","52","155|119|121|126|71|164|63|99|129|112|167|177|175|84|98|117|91|81|69|134|79|77|136|153|181|165|97|122|138|86|166|162|157|67|143|110","","GO.0005576","0"
"13","622","17","GO Process","","drug metabolic process","9.78E-5","CYP2C9|HGD|HPD|ALDH1A1|AMN|MYH7|TAT|PARK2|HMGCS2|CYP2C8|MAT1A|GNMT|ALDOB|IRG1|CYP2E1|PAH|CYP1B1","52","171|75|150|169|84|89|131|141|87|120|111|72|96|146|102|154|174","","GO.0017144","0"
"14","21","5","GO Process","","fibrinolysis","1.1E-4","HRG|FGB|F2|PLG|FGG","52","164|98|117|91|81","","GO.0042730","0"
"15","123","8","Reactome Pathways","","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","1.5E-4","PROC|APOA1|CP|F2|PLG|FGG|SERPINC1|F5","52","63|99|129|117|91|81|79|77","","HSA-381426","0"
"16","11","4","Reactome Pathways","","Phenylalanine and tyrosine catabolism","1.5E-4","HGD|HPD|TAT|PAH","52","75|150|131|154","","HSA-71182","0"
"17","1857","30","GO Process","","response to external stimulus","1.7E-4","UNC13D|PON1|CXCL6|PF4V1|HRG|APOA1|G6PC|CHL1|IL12RB2|SLC22A3|BMP6|MST1R|FGB|F2|PCK1|ARG1|PARK2|SERPINC1|VANGL2|S100A14|S100A8|S100A9|PDE6C|IRG1|FLRT3|IL33|KCNA1|OAS1|IRGM|ENSP00000459962","52","155|119|126|71|164|99|66|78|170|180|167|100|98|117|103|134|141|79|108|158|136|153|64|146|122|138|132|157|160|74","","GO.0009605","0"
"18","4","3","UniProt Keywords","","Tyrosine catabolism","3.1E-4","HGD|HPD|TAT","52","75|150|131","","KW-0828","0"
"19","959","20","GO Process","","organic acid metabolic process","3.1E-4","PON1|G6PC|CYP2C9|HGD|HPD|PCK1|ACSM5|TAT|ARG1|POX2|CYP2C8|MAT1A|GNMT|SPOCK2|ALDOB|IRG1|RGN|CYP2E1|PAH|CYP1B1","52","119|66|171|75|150|103|90|131|134|178|120|111|72|165|96|146|166|102|154|174","","GO.0006082","0"
"20","11","4","GO Process","","L-phenylalanine metabolic process","3.1E-4","HGD|HPD|TAT|PAH","52","75|150|131|154","","GO.0006558","0"
"21","11","4","GO Process","","L-phenylalanine catabolic process","3.1E-4","HGD|HPD|TAT|PAH","52","75|150|131|154","","GO.0006559","0"
"22","547","15","GO Process","","response to wounding","3.1E-4","PF4V1|HRG|PROC|APOA1|FGB|F2|PLG|FGG|ARG1|SERPINC1|F5|VANGL2|S100A8|FLRT3|PIK3R6","52","71|164|63|99|98|117|91|81|134|79|77|108|136|122|176","","GO.0009611","0"
"23","11","4","GO Process","","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process","3.1E-4","HGD|HPD|TAT|PAH","52","75|150|131|154","","GO.1902221","0"
"24","11","4","GO Process","","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process","3.1E-4","HGD|HPD|TAT|PAH","52","75|150|131|154","","GO.1902222","0"
"25","98","7","GO Process","","alpha-amino acid catabolic process","4.9E-4","HGD|HPD|TAT|ARG1|POX2|MAT1A|PAH","52","75|150|131|134|178|111|154","","GO.1901606","0"
"26","323","11","GO Component","","secretory granule lumen","5.4E-4","UNC13D|HRG|APOA1|S100P|FGB|PLG|FGG|ARG1|F5|S100A8|S100A9","52","155|164|99|177|98|91|81|134|77|136|153","","GO.0034774","0"
"27","19","4","Reactome Pathways","","Regulation of TLR by endogenous ligand","6.9E-4","FGB|FGG|S100A8|S100A9","52","98|81|136|153","","HSA-5686938","0"
"28","854","18","GO Process","","carboxylic acid metabolic process","7.7E-4","PON1|CYP2C9|HGD|HPD|PCK1|ACSM5|TAT|ARG1|POX2|CYP2C8|MAT1A|GNMT|ALDOB|IRG1|RGN|CYP2E1|PAH|CYP1B1","52","119|171|75|150|103|90|131|134|178|120|111|72|96|146|166|102|154|174","","GO.0019752","0"
"29","943","19","GO Process","","oxoacid metabolic process","7.7E-4","PON1|CYP2C9|HGD|HPD|PCK1|ACSM5|TAT|ARG1|POX2|CYP2C8|MAT1A|GNMT|SPOCK2|ALDOB|IRG1|RGN|CYP2E1|PAH|CYP1B1","52","119|171|75|150|103|90|131|134|178|120|111|72|165|96|146|166|102|154|174","","GO.0043436","0"
"30","87","6","UniProt Keywords","","Heparin-binding","8.1E-4","VTN|CXCL6|PF4V1|HRG|SERPINC1|PGF","52","121|126|71|164|79|110","","KW-0358","0"
"31","109","7","GO Process","","positive regulation of cell-substrate adhesion","8.4E-4","UNC13D|VTN|HRG|APOA1|FGB|FGG|SPOCK2","52","155|121|164|99|98|81|165","","GO.0010811","0"
"32","873","18","GO Process","","regulation of immune response","9.1E-4","UNC13D|VTN|HRG|APOA1|FGB|F2|CD300C|FGG|ARG1|S100A14|S100A8|S100A9|IL13RA2|TRIM27|IRG1|IL33|IRGM|PIK3R6","52","155|121|164|99|98|117|85|81|134|158|136|153|181|70|146|138|160|176","","GO.0050776","0"
"33","6","3","Reactome Pathways","","Biosynthesis of maresin-like SPMs","9.7E-4","CYP2C9|CYP2C8|CYP2E1","52","171|120|102","","HSA-9027307","0"
"34","114","7","GO Process","","cellular amino acid catabolic process","0.001","HGD|HPD|TAT|ARG1|POX2|MAT1A|PAH","52","75|150|131|134|178|111|154","","GO.0009063","0"
"35","1779","27","GO Process","","small molecule metabolic process","0.0011","PON1|APOA1|G6PC|CYP2C9|HGD|HPD|ALDH1A1|AMN|PCK1|ACSM5|MYH7|TAT|ARG1|POX2|HMGCS2|CYP2C8|MAT1A|GNMT|SPOCK2|ALDOB|IRG1|RGN|OAS1|GC|CYP2E1|PAH|CYP1B1","52","119|99|66|171|75|150|169|84|103|90|89|131|134|178|87|120|111|72|165|96|146|166|157|143|102|154|174","","GO.0044281","0"
