"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","123","7","Reactome Pathways","","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","0.0022","CP|IGFBP1|IGF1|FGG|ITIH2|GPC3|SPARCL1","661","740|723|755|695|675|711|671","","HSA-381426","0"
"1","959","19","GO Process","","organic acid metabolic process","0.0029","PON1|G6PC|PPARGC1A|HGD|LIPC|IGF1|HNF4A|PCK1|TAT|POX2|ITIH2|CYP2C8|CH25H|MAT1A|GNMT|RGN|CPS1|ITIH3|CYP2E1","661","729|676|760|689|731|755|738|713|743|777|675|730|708|720|680|771|682|778|710","","GO.0006082","0"
"2","854","18","GO Process","","carboxylic acid metabolic process","0.0029","PON1|PPARGC1A|HGD|LIPC|IGF1|HNF4A|PCK1|TAT|POX2|ITIH2|CYP2C8|CH25H|MAT1A|GNMT|RGN|CPS1|ITIH3|CYP2E1","661","729|760|689|731|755|738|713|743|777|675|730|708|720|680|771|682|778|710","","GO.0019752","0"
"3","2505","31","GO Component","","extracellular region","0.0031","CA11|FGF22|PON1|WNT16|TREM1|ITGA2B|CP|IGFBP1|LIPC|IGF1|FGB|VASN|AQP1|KLK10|NPB|HBB|FGG|HHIPL2|SERPINB4|ITIH2|S100A8|VIT|LAMB4|GPC3|COL4A3|RGN|CSF2RA|COLEC11|SPARCL1|ITIH3|CFB","661","714|704|729|686|766|709|740|723|731|755|707|691|761|690|769|687|695|678|758|675|753|706|702|711|745|771|673|749|671|778|685","","GO.0005576","0"
"4","1375","21","GO Component","","extracellular region part","0.0031","FGF22|PON1|WNT16|ITGA2B|CP|IGFBP1|LIPC|IGF1|FGB|VASN|AQP1|HBB|FGG|SERPINB4|S100A8|VIT|LAMB4|GPC3|COL4A3|COLEC11|SPARCL1","661","704|729|686|709|740|723|731|755|707|691|761|687|695|758|753|706|702|711|745|749|671","","GO.0044421","0"
"5","1813","25","UniProt Keywords","","Secreted","0.0035","CA11|FGF22|PON1|WNT16|TREM1|CP|IGFBP1|LIPC|IGF1|FGB|VASN|KLK10|NPB|FGG|HHIPL2|ITIH2|S100A8|VIT|LAMB4|COL4A3|CSF2RA|COLEC11|SPARCL1|ITIH3|CFB","661","714|704|729|686|766|740|723|731|755|707|691|690|769|695|678|675|753|706|702|745|673|749|671|778|685","","KW-0964","0"
"6","106","6","Reactome Pathways","","Post-translational protein phosphorylation","0.0052","CP|IGFBP1|FGG|ITIH2|GPC3|SPARCL1","661","740|723|695|675|711|671","","HSA-8957275","0"
"7","4353","42","UniProt Keywords","","Glycoprotein","0.0082","CA11|PON1|WNT16|TREM1|CD93|G6PC|ITGA2B|LY75|CP|LMTK3|PCDH1|LIPC|TMPRSS5|GPR82|SLCO1A2|FGB|VASN|AQP1|KLK10|GPR88|HBB|FGG|HHIPL2|C5AR1|ITIH2|MFSD4|CH25H|NKAIN1|DPP6|VIT|SLC4A11|KCNA1|LAMB4|GPC3|COL4A3|CSF2RA|CPS1|SPARCL1|ITIH3|CFB|TMPRSS13|PCDHA7","661","714|729|686|766|703|676|709|756|740|725|742|731|754|677|681|707|691|761|690|739|687|695|678|692|675|762|708|763|770|706|764|748|702|711|745|673|682|671|778|685|672|776","","KW-0325","0"
"8","13","3","Reactome Pathways","","GRB2:SOS provides linkage to MAPK signaling for Integrins","0.0083","ITGA2B|FGB|FGG","661","709|707|695","","HSA-354194","0"
"9","14","3","Reactome Pathways","","p130Cas linkage to MAPK signaling for integrins","0.0083","ITGA2B|FGB|FGG","661","709|707|695","","HSA-372708","0"
