"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","854","12","GO Process","","carboxylic acid metabolic process","0.0055","PON1|HGD|LIPC|IGF1|ADI1|UGT2B15|POX2|CYP2C8|CH25H|GNMT|RGN|CYP2E1","6228","6270|6249|6242|6281|6287|6250|6275|6285|6259|6284|6262|6265","","GO.0019752","0"
"1","6","2","Pfam","","SMP-30/Gluconolaconase/LRE-like region","0.0184","PON1|RGN","6228","6270|6262","","PF08450","0"
"2","557","8","UniProt Keywords","","Oxidoreductase","0.0224","HGD|ALDH1A1|ADI1|POX2|CYP2C8|CH25H|CYP2E1|DIO2","6228","6249|6261|6287|6275|6285|6259|6265|6251","","KW-0560","0"
"3","248","6","GO Process","","steroid metabolic process","0.027","PON1|LIPC|UGT2B15|CYP2C8|CH25H|CYP2E1","6228","6270|6242|6250|6285|6259|6265","","GO.0008202","0"
"4","32","3","GO Function","","steroid hydroxylase activity","0.0335","CYP2C8|CH25H|CYP2E1","6228","6285|6259|6265","","GO.0008395","0"
"5","716","9","GO Function","","oxidoreductase activity","0.0335","HGD|ALDH1A1|TXNDC2|ADI1|POX2|CYP2C8|CH25H|CYP2E1|DIO2","6228","6249|6261|6274|6287|6275|6285|6259|6265|6251","","GO.0016491","0"
"6","38","3","InterPro Domains","","Six-bladed beta-propeller, TolB-like","0.0338","PON1|HHIPL2|RGN","6228","6270|6263|6262","","IPR011042","0"
"7","13","2","Pfam","","Keratin, high sulfur B2 protein","0.034","KRTAP1-1|KRTAP1-5","6228","6246|6245","","PF01500","0"
"8","9","2","InterPro Domains","","RmlC-like cupin domain superfamily","0.0342","HGD|ADI1","6228","6249|6287","","IPR011051","0"
"9","11","2","Reactome Pathways","","CYP2E1 reactions","0.0342","CYP2C8|CYP2E1","6228","6285|6265","","HSA-211999","0"
"10","6","2","Reactome Pathways","","Biosynthesis of maresin-like SPMs","0.0342","CYP2C8|CYP2E1","6228","6285|6265","","HSA-9027307","0"
"11","13","2","InterPro Domains","","PAS fold-3","0.0433","NPAS3|SIM1","6228","6272|6291","","IPR013655","0"
