"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","7","3","GO Component","","cardiac myofibril","4.3E-4","TNNT2|TNNI3|MYBPC3","5651","5678|5691|5671","","GO.0097512","0"
"1","81","4","KEGG Pathways","","Hypertrophic cardiomyopathy (HCM)","0.0034","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","hsa05410","0"
"2","88","4","KEGG Pathways","","Dilated cardiomyopathy (DCM)","0.0034","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","hsa05414","0"
"3","25","3","GO Component","","myofilament","0.0056","TNNT2|TNNI3|MYBPC3","5651","5678|5691|5671","","GO.0036379","0"
"4","3","2","GO Component","","cardiac Troponin complex","0.0056","TNNT2|TNNI3","5651","5678|5691","","GO.1990584","0"
"5","84","4","UniProt Keywords","","Cardiomyopathy","0.0085","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","KW-0122","0"
"6","125","5","GO Process","","cardiac ventricle development","0.0098","TNNT2|SALL1|TNNI3|RYR2|MYBPC3","5651","5678|5666|5691|5661|5671","","GO.0003231","0"
"7","156","5","GO Process","","regulation of muscle contraction","0.0098","TNNT2|TNNI3|RYR2|KCNA1|MYBPC3","5651","5678|5691|5661|5683|5671","","GO.0006937","0"
"8","4","2","GO Process","","regulation of muscle filament sliding","0.0098","TNNT2|MYBPC3","5651","5678|5671","","GO.0032971","0"
"9","76","4","GO Process","","regulation of ATPase activity","0.0098","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","GO.0043462","0"
"10","48","4","GO Process","","ventricular cardiac muscle tissue morphogenesis","0.0098","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","GO.0055010","0"
"11","73","4","GO Process","","cardiac muscle contraction","0.0098","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","GO.0060048","0"
"12","84","4","GO Process","","actin-mediated cell contraction","0.0098","TNNT2|TNNI3|RYR2|MYBPC3","5651","5678|5691|5661|5671","","GO.0070252","0"
"13","38","3","GO Process","","muscle filament sliding","0.0105","TNNT2|TNNI3|MYBPC3","5651","5678|5691|5671","","GO.0030049","0"
