"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","38","6","GO Process","","muscle filament sliding","2.44E-6","MYH4|TNNT3|MYL1|MYBPC2|TNNI2|ACTN3","6017","6052|6049|6047|6043|6063|6045","","GO.0030049","0"
"1","84","7","GO Process","","actin-mediated cell contraction","2.44E-6","MYH4|TNNT3|MYL1|MYBPC2|TNNI2|SCN5A|ACTN3","6017","6052|6049|6047|6043|6063|6040|6045","","GO.0070252","0"
"2","59","6","UniProt Keywords","","Muscle protein","2.51E-6","PVALB|MYH4|TNNT3|MYL1|MYBPC2|TNNI2","6017","6053|6052|6049|6047|6043|6063","","KW-0514","0"
"3","32","5","Reactome Pathways","","Striated Muscle Contraction","5.01E-6","TNNT3|MYL1|MYBPC2|TNNI2|ACTN3","6017","6049|6047|6043|6063|6045","","HSA-390522","0"
"4","195","8","GO Component","","sarcomere","1.47E-5","MYH4|TNNT3|MYL1|JPH1|MYBPC2|MYOZ1|TNNI2|SCN5A","6017","6052|6049|6047|6034|6043|6041|6063|6040","","GO.0030017","0"
"5","291","8","GO Process","","muscle system process","3.1E-4","MYH4|TNNT3|NOS3|MYL1|MYBPC2|TNNI2|SCN5A|ACTN3","6017","6052|6049|6068|6047|6043|6063|6040|6045","","GO.0003012","0"
"6","432","8","GO Component","","actin cytoskeleton","7.9E-4","MYH4|TNNT3|NCF1|MYL1|MYBPC2|MYOZ1|TNNI2|ACTN3","6017","6052|6049|6028|6047|6043|6041|6063|6045","","GO.0015629","0"
"7","873","11","GO Component","","supramolecular fiber","7.9E-4","MYH4|TNNT3|MYL1|MAPT|JPH1|MYBPC2|MYOZ1|KRTAP1-5|TNNI2|SCN5A|ACTN3","6017","6052|6049|6047|6051|6034|6043|6041|6039|6063|6040|6045","","GO.0099512","0"
"8","198","6","Reactome Pathways","","Muscle contraction","9.0E-4","TNNT3|MYL1|MYBPC2|TNNI2|SCN5A|ACTN3","6017","6049|6047|6043|6063|6040|6045","","HSA-397014","0"
"9","244","7","GO Process","","muscle contraction","0.001","MYH4|TNNT3|MYL1|MYBPC2|TNNI2|SCN5A|ACTN3","6017","6052|6049|6047|6043|6063|6040|6045","","GO.0006936","0"
"10","493","9","GO Process","","actin filament-based process","0.0012","MYH4|TNNT3|MYL1|MYBPC2|MYOZ1|F11R|TNNI2|SCN5A|ACTN3","6017","6052|6049|6047|6043|6041|6032|6063|6040|6045","","GO.0030029","0"
"11","1355","14","GO Process","","movement of cell or subcellular component","0.0014","CEACAM6|MYH4|TNNT3|NOS3|MYL1|MAPT|MYBPC2|SPN|F11R|S100A8|TNNI2|CCDC103|SCN5A|ACTN3","6017","6046|6052|6049|6068|6047|6051|6043|6036|6032|6055|6063|6057|6040|6045","","GO.0006928","0"
"12","27","3","GO Component","","muscle myosin complex","0.0021","MYH4|MYL1|MYBPC2","6017","6052|6047|6043","","GO.0005859","0"
"13","45","4","GO Function","","structural constituent of muscle","0.0023","MYL1|JPH1|MYBPC2|ACTN3","6017","6047|6034|6043|6045","","GO.0008307","0"
"14","111","5","GO Process","","striated muscle contraction","0.0023","TNNT3|MYL1|MYBPC2|TNNI2|SCN5A","6017","6049|6047|6043|6063|6040","","GO.0006941","0"
"15","8","2","GO Component","","troponin complex","0.0079","TNNT3|TNNI2","6017","6049|6063","","GO.0005861","0"
