"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"0","38","10","GO Process","","muscle filament sliding","1.55E-11","TNNT2|MYH4|TNNT3|MYL1|TNNI3|MYBPC2|MYH8|MYH6|ACTN3|MYBPC3","3430","3443|3513|3450|3457|3516|3521|3447|3451|3499|3500","","GO.0030049","0"
"1","32","9","Reactome Pathways","","Striated Muscle Contraction","2.73E-11","TNNT2|TNNT3|MYL1|TNNI3|MYBPC2|MYH8|MYH6|ACTN3|MYBPC3","3430","3443|3450|3457|3516|3521|3447|3451|3499|3500","","HSA-390522","0"
"2","59","10","UniProt Keywords","","Muscle protein","7.09E-11","PVALB|TNNT2|MYH4|TNNT3|MYL1|TNNI3|MYBPC2|MYH8|MYH6|MYBPC3","3430","3512|3443|3513|3450|3457|3516|3521|3447|3451|3500","","KW-0514","0"
"3","84","11","GO Process","","actin-mediated cell contraction","2.05E-10","TNNT2|MYH4|TNNT3|MYL1|TNNI3|MYBPC2|RYR2|MYH8|MYH6|ACTN3|MYBPC3","3430","3443|3513|3450|3457|3516|3521|3449|3447|3451|3499|3500","","GO.0070252","0"
"4","195","11","GO Component","","sarcomere","5.0E-7","TNNT2|MYH4|TNNT3|MYL1|TNNI3|MYBPC2|MYOZ1|RYR2|MYH8|MYH6|MYBPC3","3430","3443|3513|3450|3457|3516|3521|3518|3449|3447|3451|3500","","GO.0030017","0"
"5","27","6","GO Component","","muscle myosin complex","5.75E-7","MYH4|MYL1|MYBPC2|MYH8|MYH6|MYBPC3","3430","3513|3457|3521|3447|3451|3500","","GO.0005859","0"
"6","111","9","GO Process","","striated muscle contraction","9.61E-7","TNNT2|TNNT3|MYL1|TNNI3|MYBPC2|RYR2|MYH8|MYH6|MYBPC3","3430","3443|3450|3457|3516|3521|3449|3447|3451|3500","","GO.0006941","0"
"7","880","18","GO Component","","supramolecular polymer","2.48E-6","TNNT2|MYH4|DNAH3|TNNT3|MYL1|DNAH7|ODF3L2|TNNI3|MYBPC2|MYOZ1|KRTAP1-5|RYR2|COL4A4|MYH8|MYH6|ACKR2|ACTN3|MYBPC3","3430","3443|3513|3446|3450|3457|3455|3442|3516|3521|3518|3462|3449|3490|3447|3451|3458|3499|3500","","GO.0099081","0"
"8","17","5","UniProt Keywords","","Thick filament","2.85E-6","MYH4|MYBPC2|MYH8|MYH6|MYBPC3","3430","3513|3521|3447|3451|3500","","KW-0787","0"
"9","198","10","Reactome Pathways","","Muscle contraction","2.87E-6","TNNT2|TNNT3|MYL1|TNNI3|MYBPC2|RYR2|MYH8|MYH6|ACTN3|MYBPC3","3430","3443|3450|3457|3516|3521|3449|3447|3451|3499|3500","","HSA-397014","0"
