source,term_name,term_id,adjusted_p_value,intersections
GO:BP,regulation of muscle filament sliding,GO:0032971,0.000129683739051,"MYBPC3,TNNT2,TNNC1"
GO:BP,ventricular cardiac muscle tissue morphogenesis,GO:0055010,0.000172524131458,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,ventricular cardiac muscle tissue development,GO:0003229,0.000230255419384,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,cardiac muscle tissue morphogenesis,GO:0055008,0.000401503839987,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,cardiac ventricle morphogenesis,GO:0003208,0.000536142530953,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,muscle organ morphogenesis,GO:0048644,0.000654742486983,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,actin-myosin filament sliding,GO:0033275,0.000654742486983,"TNNI3,MYBPC3,TNNT2,TNNC1"
GO:BP,muscle filament sliding,GO:0030049,0.000654742486983,"TNNI3,MYBPC3,TNNT2,TNNC1"
GO:BP,regulation of postsynaptic membrane potential,GO:0060078,0.000654742486983,"P2RX6,GABRA3,CHRNB4,CHRNA7,GABRR2,TMEM108"
GO:BP,muscle tissue morphogenesis,GO:0060415,0.000654742486983,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,muscle contraction,GO:0006936,0.000908978666914,"TNNI3,RYR2,P2RX6,MYBPC3,CHRNB4,MYH11,TNNT2,TNNC1"
GO:BP,regulation of muscle filament sliding speed,GO:0032972,0.000959078475096,"TNNT2,TNNC1"
GO:BP,regulation of muscle contraction,GO:0006937,0.000959078475096,"TNNI3,RYR2,MYBPC3,CHRNB4,TNNT2,TNNC1"
GO:BP,regulation of actin filament-based movement,GO:1903115,0.001086031934522,"RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070434,0.002260379771929,"HSPA1B,HSPA1A"
GO:BP,actin-mediated cell contraction,GO:0070252,0.002260379771929,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,cardiac chamber morphogenesis,GO:0003206,0.002697249412422,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,cardiac ventricle development,GO:0003231,0.002697249412422,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,cardiac muscle contraction,GO:0060048,0.003192973245478,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,muscle system process,GO:0003012,0.003192973245478,"TNNI3,RYR2,P2RX6,MYBPC3,CHRNB4,MYH11,TNNT2,TNNC1"
GO:BP,positive regulation of nucleotide-binding oligomerization domain containing signaling pathway,GO:0070426,0.003192973245478,"HSPA1B,HSPA1A"
GO:BP,positive regulation of microtubule nucleation,GO:0090063,0.003192973245478,"HSPA1B,HSPA1A"
GO:BP,actin filament-based movement,GO:0030048,0.003192973245478,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,cardiac muscle tissue development,GO:0048738,0.003192973245478,"TNNI3,RYR2,MYBPC3,MYH11,TNNT2,TNNC1"
GO:BP,heart morphogenesis,GO:0003007,0.004293035770419,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1,EFNA1"
GO:BP,regulation of muscle system process,GO:0090257,0.004293035770419,"TNNI3,RYR2,MYBPC3,CHRNB4,TNNT2,TNNC1"
GO:BP,chaperone cofactor-dependent protein refolding,GO:0051085,0.004293035770419,"HSPA1B,HSPA1A,HSPA1L"
GO:BP,regulation of ATPase activity,GO:0043462,0.004293035770419,"TNNI3,MYBPC3,TNNT2,TNNC1"
GO:BP,cellular heat acclimation,GO:0070370,0.004293035770419,"HSPA1B,HSPA1A"
GO:BP,heat acclimation,GO:0010286,0.004293035770419,"HSPA1B,HSPA1A"
GO:BP,regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070432,0.005450293139551,"HSPA1B,HSPA1A"
GO:BP,cardiac chamber development,GO:0003205,0.005450293139551,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,regulation of microtubule nucleation,GO:0010968,0.005450293139551,"HSPA1B,HSPA1A"
GO:BP,striated muscle contraction,GO:0006941,0.005847127035588,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,'de novo' posttranslational protein folding,GO:0051084,0.005847127035588,"HSPA1B,HSPA1A,HSPA1L"
GO:BP,'de novo' protein folding,GO:0006458,0.007473309922193,"HSPA1B,HSPA1A,HSPA1L"
GO:BP,protein refolding,GO:0042026,0.007473309922193,"HSPA1B,HSPA1A,HSPA1L"
GO:BP,excitatory postsynaptic potential,GO:0060079,0.007527952438461,"P2RX6,CHRNB4,CHRNA7,TMEM108"
GO:BP,regulation of membrane potential,GO:0042391,0.007918630175608,"RYR2,P2RX6,GABRA3,CHRNB4,CHRNA7,GABRR2,TMEM108"
GO:BP,skeletal muscle contraction,GO:0003009,0.008632370352776,"TNNI3,TNNT2,TNNC1"
GO:BP,"chemical synaptic transmission, postsynaptic",GO:0099565,0.009351715213562,"P2RX6,CHRNB4,CHRNA7,TMEM108"
GO:BP,regulation of system process,GO:0044057,0.010731799739898,"TNNI3,RYR2,MYBPC3,CHRNB4,CHRNA7,TNNT2,TMEM108,TNNC1"
GO:BP,regulation of nucleotide-binding oligomerization domain containing signaling pathway,GO:0070424,0.012175521729081,"HSPA1B,HSPA1A"
GO:BP,positive regulation of tumor necrosis factor-mediated signaling pathway,GO:1903265,0.012175521729081,"HSPA1B,HSPA1A"
GO:BP,negative regulation of inclusion body assembly,GO:0090084,0.014524445999609,"HSPA1B,HSPA1A"
GO:BP,musculoskeletal movement,GO:0050881,0.017257163201727,"TNNI3,TNNT2,TNNC1"
GO:BP,multicellular organismal movement,GO:0050879,0.017257163201727,"TNNI3,TNNT2,TNNC1"
GO:BP,response to temperature stimulus,GO:0009266,0.017515279733532,"MICB,HSPA1B,HSPA1A,SLC12A5,HSPA1L"
GO:BP,chaperone-mediated protein folding,GO:0061077,0.018353050024105,"HSPA1B,HSPA1A,HSPA1L"
GO:BP,nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070431,0.018472162653084,"HSPA1B,HSPA1A"
GO:BP,system process,GO:0003008,0.022865415958226,"TNNI3,RYR2,P2RX6,MYBPC3,GABRA3,SLC12A5,CHRNB4,DEAF1,MYH11,CHRNA7,TNNT2,GABRR2,TMEM108,TNNC1,OR2G6"
GO:BP,striated muscle tissue development,GO:0014706,0.023845867580516,"TNNI3,RYR2,MYBPC3,MYH11,TNNT2,TNNC1"
GO:BP,positive regulation of amyloid-beta formation,GO:1902004,0.029070906624325,"CHRNA7,EFNA1"
GO:BP,regulation of inclusion body assembly,GO:0090083,0.029070906624325,"HSPA1B,HSPA1A"
GO:BP,muscle tissue development,GO:0060537,0.029070906624325,"TNNI3,RYR2,MYBPC3,MYH11,TNNT2,TNNC1"
GO:BP,negative regulation of ATPase activity,GO:0032780,0.032063315110308,"TNNI3,TNNT2"
GO:BP,heart development,GO:0007507,0.032458886496018,"TNNI3,RYR2,MYBPC3,MYH11,TNNT2,TNNC1,EFNA1"
GO:BP,heart contraction,GO:0060047,0.032458886496018,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,regulation of cellular response to heat,GO:1900034,0.035886295287339,"HSPA1B,HSPA1A,HSPA1L"
GO:BP,response to heat,GO:0009408,0.035886295287339,"MICB,HSPA1B,HSPA1A,HSPA1L"
GO:BP,regulation of mitotic spindle assembly,GO:1901673,0.035886295287339,"HSPA1B,HSPA1A"
GO:BP,heart process,GO:0003015,0.035886295287339,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
GO:BP,positive regulation of amyloid precursor protein catabolic process,GO:1902993,0.038909228034158,"CHRNA7,EFNA1"
GO:BP,chloride transmembrane transport,GO:1902476,0.045595340875642,"GABRA3,SLC12A5,GABRR2"
GO:BP,inclusion body assembly,GO:0070841,0.049299185213985,"HSPA1B,HSPA1A"
KEGG,Dilated cardiomyopathy (DCM),KEGG:05414,0.001028339476223,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
KEGG,Hypertrophic cardiomyopathy (HCM),KEGG:05410,0.001028339476223,"TNNI3,RYR2,MYBPC3,TNNT2,TNNC1"
KEGG,Antigen processing and presentation,KEGG:04612,0.003391272995814,"HSPA1B,HSPA1A,HSPA1L,HLA-DOB"
KEGG,Adrenergic signaling in cardiomyocytes,KEGG:04261,0.004412952159892,"TNNI3,RYR2,PPP2R2B,TNNT2,TNNC1"
KEGG,Cardiac muscle contraction,KEGG:04260,0.004783922209627,"TNNI3,RYR2,TNNT2,TNNC1"
KEGG,Nicotine addiction,KEGG:05033,0.006239504306959,"GABRA3,CHRNA7,GABRR2"
KEGG,Toxoplasmosis,KEGG:05145,0.008436882569312,"HSPA1B,HSPA1A,HSPA1L,HLA-DOB"
KEGG,Legionellosis,KEGG:05134,0.012613563767421,"HSPA1B,HSPA1A,HSPA1L"
KEGG,Longevity regulating pathway - multiple species,KEGG:04213,0.013703224719885,"HSPA1B,HSPA1A,HSPA1L"
KEGG,GABAergic synapse,KEGG:04727,0.038065629287535,"GABRA3,SLC12A5,GABRR2"
KEGG,Calcium signaling pathway,KEGG:04020,0.042763806951088,"RYR2,P2RX6,CHRNA7,TNNC1"
REAC,Striated Muscle Contraction,REAC:R-HSA-390522,0.000370530334253,"TNNI3,MYBPC3,TNNT2,TNNC1"
REAC,Attenuation phase,REAC:R-HSA-3371568,0.000484209036321,"HSPA1B,HSPA1A,HSPA1L"
REAC,Muscle contraction,REAC:R-HSA-397014,0.000834797231445,"TNNI3,RYR2,MYBPC3,MYH11,TNNT2,TNNC1"
REAC,HSF1-dependent transactivation,REAC:R-HSA-3371571,0.001321577061155,"HSPA1B,HSPA1A,HSPA1L"
REAC,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,REAC:R-HSA-629594,0.011506446543445,"CHRNB4,CHRNA7"
REAC,Acetylcholine binding and downstream events,REAC:R-HSA-181431,0.011838073667506,"CHRNB4,CHRNA7"
REAC,HSP90 chaperone cycle for steroid hormone receptors (SHR),REAC:R-HSA-3371497,0.011838073667506,"HSPA1B,HSPA1A,HSPA1L"
REAC,Postsynaptic nicotinic acetylcholine receptors,REAC:R-HSA-622327,0.011838073667506,"CHRNB4,CHRNA7"
REAC,Regulation of HSF1-mediated heat shock response,REAC:R-HSA-3371453,0.01284228692781,"HSPA1B,HSPA1A,HSPA1L"
REAC,Cellular response to heat stress,REAC:R-HSA-3371556,0.024648942357368,"HSPA1B,HSPA1A,HSPA1L"
REAC,Neurotransmitter receptors and postsynaptic signal transmission,REAC:R-HSA-112314,0.025653152473169,"GABRA3,CHRNB4,CHRNA7,GABRR2"
REAC,EPHA-mediated growth cone collapse,REAC:R-HSA-3928663,0.03082747824821,"MYH11,EFNA1"
