source,term_name,term_id,adjusted_p_value,intersections
GO:BP,muscle filament sliding,GO:0030049,8.56973393212767E-07,"MYBPC2,ACTN3,MYH4,MYL1,TNNI2,TNNT3"
GO:BP,actin-myosin filament sliding,GO:0033275,8.56973393212767E-07,"MYBPC2,ACTN3,MYH4,MYL1,TNNI2,TNNT3"
GO:BP,actin-mediated cell contraction,GO:0070252,2.21125751669032E-05,"MYBPC2,SCN5A,ACTN3,MYH4,MYL1,TNNI2,TNNT3"
GO:BP,actin filament-based movement,GO:0030048,5.25141160411003E-05,"MYBPC2,SCN5A,ACTN3,MYH4,MYL1,TNNI2,TNNT3"
GO:BP,muscle system process,GO:0003012,0.00155921138921,"MYBPC2,SCN5A,ACTN3,MYH4,MYOZ1,MYL1,NOS3,TNNI2,TNNT3"
GO:BP,neurofibrillary tangle assembly,GO:1902988,0.007254932328908,"MAPT,SORL1"
GO:BP,movement of cell or subcellular component,GO:0006928,0.010615870649969,"MYBPC2,FAM83H,MAPT,SMPD3,SCN5A,CEACAM6,ACTN3,MYH4,MYL1,S100A8,NOS3,TNNI2,TNNT3,SPN,F11R,SORL1,CCDC103"
GO:BP,muscle contraction,GO:0006936,0.011673581947126,"MYBPC2,SCN5A,ACTN3,MYH4,MYL1,TNNI2,TNNT3"
GO:BP,striated muscle contraction,GO:0006941,0.024403480444576,"SCN5A,ACTN3,MYL1,TNNI2,TNNT3"
GO:BP,regulation of calcium-mediated signaling,GO:0050848,0.031864313735502,"MAPT,JPH1,ACTN3,MYOZ1"
GO:BP,skeletal muscle contraction,GO:0003009,0.03329636329663,"ACTN3,TNNI2,TNNT3"
GO:BP,actin filament-based process,GO:0030029,0.03329636329663,"MYBPC2,SCN5A,ACTN3,MYH4,MYOZ1,MYL1,TNNI2,TNNT3,F11R"
REAC,Striated Muscle Contraction,REAC:R-HSA-390522,4.05860817677615E-06,"MYBPC2,ACTN3,MYL1,TNNI2,TNNT3"
REAC,Muscle contraction,REAC:R-HSA-397014,0.000878119988159,"MYBPC2,SCN5A,ACTN3,MYL1,TNNI2,TNNT3"
