source,term_name,term_id,adjusted_p_value,intersections
GO:BP,carboxylic acid metabolic process,GO:0019752,1.55943400893802E-06,"ALDOB,PON1,MAT1A,UGT2B15,CYP2C8,PCK1,HPD,PAH,FBP1,PRODH,APOA1,ARG1,ANGPTL3,TAT,ALDH1L1,HAL,HGD,ELOVL7,CYP2D7,GNMT,IGF1,RGN,CES1"
GO:BP,small molecule metabolic process,GO:0044281,1.55943400893802E-06,"ALDOB,PON1,MAT1A,UGT2B15,GC,CYP2C8,PCK1,HPD,HMGCS2,PAH,FBP1,PRODH,CEBPA,APOA1,APOB,ARG1,ANGPTL3,ALDH1A1,TAT,G6PC,ALDH1L1,HAL,HGD,UPP2,ELOVL7,CYP2D7,GNMT,IGF1,RGN,PDE1A,CES1"
GO:BP,organic acid metabolic process,GO:0006082,1.55943400893802E-06,"ALDOB,PON1,MAT1A,UGT2B15,CYP2C8,PCK1,HPD,PAH,FBP1,PRODH,APOA1,ARG1,ANGPTL3,TAT,G6PC,ALDH1L1,HAL,HGD,ELOVL7,CYP2D7,GNMT,IGF1,RGN,CES1"
GO:BP,drug metabolic process,GO:0017144,2.68755582072135E-06,"MAT1A,CYP2C8,PCK1,HPD,HMGCS2,PAH,ALDH1A1,TAT,ALDH1L1,HAL,HGD,CYP2D7,GNMT,IGF1,GRIN2A,RGN,HBB"
GO:BP,oxoacid metabolic process,GO:0043436,2.98667570413758E-06,"ALDOB,PON1,MAT1A,UGT2B15,CYP2C8,PCK1,HPD,PAH,FBP1,PRODH,APOA1,ARG1,ANGPTL3,TAT,ALDH1L1,HAL,HGD,ELOVL7,CYP2D7,GNMT,IGF1,RGN,CES1"
GO:BP,catabolic process,GO:0009056,4.09172995947555E-06,"HSPA1B,ALDOB,S100A8,S100A9,PON1,MAT1A,CYP2C8,PCK1,HPD,PAH,FBP1,PRODH,CEBPA,APOA1,APOB,ARG1,ANGPTL3,ALDH1A1,MGAM,TAT,G6PC,ALDH1L1,HAL,HGD,UPP2,CYP2D7,IGF1,GSTM1,GRIN2A,AC126283.2,RGN,PDE1A,HBB,CES1,UBD"
GO:BP,small molecule catabolic process,GO:0044282,1.22216957883048E-05,"ALDOB,PON1,MAT1A,PCK1,HPD,PAH,PRODH,ARG1,ALDH1A1,TAT,ALDH1L1,HAL,HGD,UPP2"
GO:BP,alpha-amino acid catabolic process,GO:1901606,1.84652404475239E-05,"MAT1A,HPD,PAH,PRODH,ARG1,TAT,HAL,HGD"
GO:BP,organic acid catabolic process,GO:0016054,2.56688033271834E-05,"PON1,MAT1A,PCK1,HPD,PAH,PRODH,ARG1,TAT,ALDH1L1,HAL,HGD"
GO:BP,carboxylic acid catabolic process,GO:0046395,2.56688033271834E-05,"PON1,MAT1A,PCK1,HPD,PAH,PRODH,ARG1,TAT,ALDH1L1,HAL,HGD"
GO:BP,tyrosine metabolic process,GO:0006570,2.87241250259195E-05,"HPD,PAH,TAT,HGD"
GO:BP,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,GO:1902222,3.29780345668675E-05,"HPD,PAH,TAT,HGD"
GO:BP,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,GO:1902221,3.29780345668675E-05,"HPD,PAH,TAT,HGD"
GO:BP,L-phenylalanine metabolic process,GO:0006558,3.29780345668675E-05,"HPD,PAH,TAT,HGD"
GO:BP,L-phenylalanine catabolic process,GO:0006559,3.29780345668675E-05,"HPD,PAH,TAT,HGD"
GO:BP,cellular amino acid catabolic process,GO:0009063,3.50862418373087E-05,"MAT1A,HPD,PAH,PRODH,ARG1,TAT,HAL,HGD"
GO:BP,aromatic amino acid family catabolic process,GO:0009074,3.66792678248815E-05,"HPD,PAH,TAT,HAL,HGD"
GO:BP,regulated exocytosis,GO:0045055,3.66792678248815E-05,"HSPA1B,S100A8,S100A9,FGG,FGB,S100P,APOA1,ARG1,CDK5R2,MGAM,TMC6,ARHGAP9,IGF1,PLG,F5,LGALS9,HBB"
GO:BP,organic substance catabolic process,GO:1901575,4.78123079044605E-05,"HSPA1B,ALDOB,PON1,MAT1A,PCK1,HPD,PAH,FBP1,PRODH,CEBPA,APOA1,APOB,ARG1,ANGPTL3,ALDH1A1,MGAM,TAT,G6PC,ALDH1L1,HAL,HGD,UPP2,IGF1,GRIN2A,AC126283.2,RGN,PDE1A,CES1,UBD"
GO:BP,organic hydroxy compound metabolic process,GO:1901615,5.53021757746395E-05,"PON1,GC,CYP2C8,PCK1,HMGCS2,PAH,CEBPA,APOA1,APOB,ANGPTL3,ALDH1A1,IGF1,GRIN2A,CES1"
GO:BP,drug catabolic process,GO:0042737,6.30570186988818E-05,"CYP2C8,PCK1,HPD,PAH,TAT,HGD,CYP2D7,HBB"
GO:BP,steroid metabolic process,GO:0008202,7.32426155450411E-05,"PON1,UGT2B15,GC,CYP2C8,HMGCS2,CEBPA,APOA1,APOB,ANGPTL3,G6PC,CES1"
