ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000221852	KRTAP1-5	17	41026026	41027208	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	11.9913982631296	21.5881751914364	4.23557688544285	5.09686774088136	3.4531940529603e-07	0.000669068828020021	1
ENSG00000244398	AC116533.1	11	16974693	16975013	ribosomal protein L36a (RPL36A) pseudogene	5.72615254210801	18.189436700592	4.29594947527351	4.2340899969346	2.29479038115663e-05	0.0162113171686429	1
ENSG00000284554	AL022318.4	22	39014363	39033276	novel protein	3.97537974855171	17.3686471085337	4.2688336220399	4.06871024882763	4.72740917066667e-05	0.02878992184936	1
ENSG00000256861	AC048338.1	12	122207779	122266423	novel protein	4.58273802626644	17.0900236728419	4.26655011201264	4.00558372084374	6.18645166961345e-05	0.0364196409790144	1
ENSG00000275758	DDTL	CHR_HSCHR22_1_CTG7	23966902	23972534	D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]	4.35722912567448	17.0082644686842	4.26661210459415	3.98636296240061	6.70938495294396e-05	0.0368861318167545	1
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	4.79099393114897	16.54443862641	4.29697885890977	3.85024901672607	0.000117997793283118	0.0595416864906614	1
ENSG00000204366	ZBTB12	6	31899613	31902086	zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]	9.80118325140178	6.0741975214009	2.8868985262676	2.10405646964464	0.0353735214177281	1	1
ENSG00000129991	TNNI3	19	55151767	55157773	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	7.66398282620437	6.07418712638624	1.19224963410699	5.09472760789387	3.49243026373623e-07	0.000669068828020021	1
ENSG00000134571	MYBPC3	11	47331406	47352702	myosin binding protein C, cardiac [Source:HGNC Symbol;Acc:HGNC:7551]	3.47214099011763	5.40419079409779	1.39844843704244	3.86441905968805	0.000111353906292673	0.0578418040892619	1
ENSG00000198626	RYR2	1	237042184	237833988	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	2.90854367189076	4.78422106559964	1.74214865316027	2.74616121702418	0.00602971253719983	0.755253568223306	1
ENSG00000166664	CHRFAM7A	15	30357766	30393849	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781]	2.84194783065434	4.47495069840975	1.68945347970957	2.64875638906555	0.00807885434555075	0.844264181045986	1
