ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000256861	AC048338.1	12	122207779	122266423	novel protein	10.32493727843	25.6678094955834	4.23606620362631	6.05935041185389	1.36672362356128e-09	1.02653161309021e-06	1.14950492386657
ENSG00000206285	B3GALT4	CHR_HSCHR6_MHC_QBL_CTG1	33205959	33207652	beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]	2.68130883707228	18.3240899299351	4.24314053859003	4.31852062482571	1.5707854520093e-05	0.00599242122249032	1.0331858820885
ENSG00000234196	ZBTB12	CHR_HSCHR6_MHC_MCF_CTG1	31976089	31978474	zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]	8.12915658798863	17.7853071382297	4.29639525426601	4.13958820957412	3.4792980006604e-05	0.0115350431254593	1.11273053804156
ENSG00000276959	LENG1	CHR_HSCHR19_4_CTG3_1	54156123	54160192	leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]	5.00560133395667	13.0321663793165	4.30143278441891	3.02972684509286	0.00244775008289969	0.315843148522427	1.0331858820885
ENSG00000285238	AC006064.6	12	6556886	6607367	novel transcript	22.8247875691517	9.42075402790423	4.17747629261827	2.25513045868172	0.0241251413066534	0.956185506190805	1
ENSG00000011677	GABRA3	X	152166234	152451315	gamma-aminobutyric acid type A receptor alpha3 subunit [Source:HGNC Symbol;Acc:HGNC:4077]	12.1755892646608	6.30958122521065	1.54072593052773	4.09520025605689	4.21803633748328e-05	0.0139661834369902	1.0331858820885
ENSG00000007314	SCN4A	17	63938554	63972918	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	3.91714508336766	5.00146678605081	1.54847922851241	3.22992178000064	0.00123824089799856	0.209601445656	1.0331858820885
ENSG00000223680	DDR1	CHR_HSCHR6_MHC_MCF_CTG1	30959531	30970646	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	2.33194963632404	4.67491867650795	2.29404631588911	2.03784842709075	0.0415650935916055	1	1
ENSG00000068781	STON1-GTF2A1L	2	48529925	48776517	STON1-GTF2A1L readthrough [Source:HGNC Symbol;Acc:HGNC:30651]	4.98743941499306	4.61637318097595	1.53610370230058	3.00524839179942	0.00265364043999401	0.336455628094626	1
ENSG00000267261	AC099811.2	17	42119674	42154916	novel protein	3.81383680929599	4.60128168816116	1.59839653093231	2.87868598255611	0.00399335740323946	0.388807011850838	1.14950492386657
ENSG00000276720	CU151838.2	CHR_HSCHR19LRC_PGF1_CTG3_1	54229605	54230979	LSM14 homolog A (SCD6, S. cerevisiae) pseudogene	2.13574134267237	4.30510752314959	1.45144142746014	2.96609111583858	0.00301611118422836	0.338930846000729	1.11273053804156
ENSG00000181541	MAB21L2	4	150582151	150584693	mab-21 like 2 [Source:HGNC Symbol;Acc:HGNC:6758]	4.25637135040431	3.82126234012151	1.41838222713295	2.69409914127705	0.00705791675335289	0.568742616244628	1
ENSG00000125285	SOX21	13	94709622	94712545	SRY-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11197]	13.8721349751692	3.58581727545425	1.46228102826326	2.45220802714859	0.0141982552316919	0.762783645504364	1
ENSG00000121101	TEX14	17	58556678	58692055	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	6.08234568867897	3.3777815698408	1.16835048815675	2.89106873671936	0.00383934136687297	0.388564037335372	1.11273053804156
ENSG00000129451	KLK10	19	51012739	51020175	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	3.32296120397241	3.31516148931777	1.3575403918624	2.44203524933039	0.0146047205431353	0.734967575122316	1.14950492386657
ENSG00000254509	AP000866.3	11	124791228	124791660	endothelial cell adhesion molecule (ESAM) pseudogene	2.45321448028451	3.3047424477036	1.54735564626209	2.13573554062171	0.032700975781163	1	1
ENSG00000254732	AP001931.1	11	57741779	57804771	novel protein, C11orf31-CTNND1 readthrough	4.79898009850928	3.25538106389022	1.46474781383565	2.22248569558574	0.0262504996763725	0.959762950697808	1.0331858820885
ENSG00000285815	WRB-SH3BGR	21	39380332	39515506	WRB-SH3BGR readthrough [Source:NCBI gene;Acc:106865373]	8.44656807591427	3.23948789963518	1.30355280263792	2.48512211632672	0.0129507000696979	0.720207062689259	1.11273053804156
ENSG00000177464	GPR4	19	45589764	45602212	G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497]	6.63355173565189	3.02353460326887	1.13993882546446	2.65236566711109	0.0079929926268536	0.591840064221442	1.0331858820885
ENSG00000166126	AMN	14	102922656	102933596	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	3.3826366250488	3.00855667024043	1.5252186317086	1.97254125257448	0.0485478518851695	1	1
ENSG00000152583	SPARCL1	4	87473335	87531061	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	2.49325467067244	2.91922769773677	1.38081332013989	2.11413639712067	0.0345036192888336	1	1.11273053804156
ENSG00000205002	AARD	8	116938207	116944487	alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]	3.57072070452499	2.91230295731157	1.47256739923904	1.97770435418882	0.0479620687811307	1	1
ENSG00000104967	NOVA2	19	45933734	45973865	NOVA alternative splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:7887]	5.36387899113092	2.90315694047926	1.44392399922123	2.01060231843577	0.0443674789830746	1	1
ENSG00000173253	DMRT2	9	1049858	1057552	doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]	5.19495936222585	2.83286792834956	1.17611368563012	2.40866845013524	0.0160108356849103	0.760724875666144	1.14950492386657
ENSG00000108309	RUNDC3A	17	44308413	44318670	RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]	2.4326822120594	2.82356524449415	1.31246353967945	2.15134756824084	0.0314487763195084	1	1
ENSG00000248871	TNFSF12-TNFSF13	17	7549099	7561601	TNFSF12-TNFSF13 readthrough [Source:HGNC Symbol;Acc:HGNC:33537]	8.18175484686085	2.74570035192619	1.16870520924148	2.34935236894189	0.0188061001412658	0.82830571979959	1
ENSG00000105737	GRIK5	19	41998321	42069498	glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]	3.96176685054206	2.711411204417	1.25182139768235	2.16597288513918	0.0303132589958959	1	1
ENSG00000124610	H1-1	6	26017085	26017732	H1.1 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4715]	3.35525486739646	2.49736331392076	1.26989198044637	1.96659507452196	0.0492299117699676	1	1.11273053804156
ENSG00000188223	AD000671.1	19	35745678	35754519	novel protein	8.46844683905336	2.39448324836801	0.959267137936478	2.49615894642121	0.0125546331930284	0.715992511171585	1.11273053804156
ENSG00000147465	STAR	8	38142700	38150992	steroidogenic acute regulatory protein [Source:HGNC Symbol;Acc:HGNC:11359]	5.49482591597082	2.3465663849557	0.850473215478606	2.75913026095144	0.00579554284850692	0.46906600382287	1.11273053804156
ENSG00000277531	PNMA8C	19	46424697	46428951	PNMA family member 8C [Source:HGNC Symbol;Acc:HGNC:53427]	5.28960603606482	2.32902840534775	0.934689347948885	2.49176735613672	0.0127109263467096	0.734967575122316	1
ENSG00000186462	NAP1L2	X	73212299	73214851	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	5.41659360651535	2.27899554454179	1.07382388407373	2.12231780121712	0.0338110596086596	1	1.0331858820885
ENSG00000278268	MOAP1	CHR_HSCHR14_7_CTG1	93182196	93184928	modulator of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:16658]	137.225542829496	2.27139104195449	1.14754452000926	1.97934895104214	0.0477767318019087	1	1.14950492386657
ENSG00000092054	MYH7	14	23412740	23435660	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	50.1404570384268	2.25596905862505	0.336469540256503	6.70482402925756	2.01649220234141e-11	2.35911212457705e-08	1.0331858820885
ENSG00000222046	DCDC2B	1	32209094	32216196	doublecortin domain containing 2B [Source:HGNC Symbol;Acc:HGNC:32576]	3.89178578744574	2.21318025524704	1.02720529357092	2.15456469032909	0.0311959146331009	0.980533738015128	1.14950492386657
ENSG00000153993	SEMA3D	7	84995553	85186855	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	6.97718361071668	2.1697143300015	1.01859263399539	2.13010997486883	0.0331625350086684	1	1.14950492386657
ENSG00000167619	TMEM145	19	42313309	42325064	transmembrane protein 145 [Source:HGNC Symbol;Acc:HGNC:26912]	13.5125777887899	2.16113882840258	0.618421617431306	3.49460427560594	0.000474765109781753	0.107599577568162	1
ENSG00000196091	MYBPC1	12	101568353	101686028	myosin binding protein C, slow type [Source:HGNC Symbol;Acc:HGNC:7549]	18.9247331110815	2.12907115644666	0.828531668790681	2.56969194618021	0.0101788984600125	0.633192106738675	1.14950492386657
ENSG00000164122	ASB5	4	176213673	176277571	ankyrin repeat and SOCS box containing 5 [Source:HGNC Symbol;Acc:HGNC:17180]	4.43622469788799	2.10574519394799	1.06863626565838	1.97049759737533	0.0487813700752795	1	1
ENSG00000266714	MYO15B	17	75588058	75626849	myosin XVB [Source:HGNC Symbol;Acc:HGNC:14083]	8.76562647282308	2.10417926114814	0.790482201868966	2.66189328004243	0.00777025098671542	0.591942943866123	1
ENSG00000257093	DENND11	7	141656728	141702166	DENN domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29472]	64.0120598244916	2.02528720793087	0.605667380003855	3.34389348806928	0.00082611447871426	0.159035763885029	1
ENSG00000166035	LIPC	15	58410569	58569844	lipase C, hepatic type [Source:HGNC Symbol;Acc:HGNC:6619]	5.89224584965446	2.01309783978403	0.878837151244115	2.29063807433973	0.0219843549255928	0.903851109197104	1
ENSG00000128262	POM121L9P	22	24251828	24265525	POM121 transmembrane nucleoporin like 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:30080]	10.3181676015384	2.00168662000406	0.770504907503258	2.59788951440987	0.0093798669159851	0.618565941101323	1.11273053804156
ENSG00000131668	BARX1	9	93951627	93955355	BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]	313.960275364874	1.98073033878499	0.601745817865105	3.29163955939452	0.000996051819917731	0.230301360765849	0.726078257043904
ENSG00000197893	NRAP	10	113588716	113664127	nebulin related anchoring protein [Source:HGNC Symbol;Acc:HGNC:7988]	6.48465629387839	1.9580689878669	0.782651226670717	2.50184107702256	0.0123549370909665	0.734450375069882	1
ENSG00000170396	ZNF804A	2	184598529	184939492	zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]	5.76378468618326	1.86850442690734	0.896970546248793	2.08312796303244	0.0372395611327096	1	1
