ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000262304	AC027796.3	17	3585149	3636249	novel readthrough SHPK-TRPV1 protein	2.57026221801443	-22.6428239035186	4.00527125961604	-5.65325603082604	1.57436520781974e-08	5.67591208015676e-05	0.239481675072969
ENSG00000276959	LENG1	CHR_HSCHR19_4_CTG3_1	54156123	54160192	leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]	5.00560133395667	-21.254174047974	4.29597641242547	-4.94746060208792	7.51879157167933e-07	0.0020759830010829	0.152713543768218
ENSG00000285447	ZNF883	9	112997120	113050043	zinc finger protein 883 [Source:NCBI gene;Acc:169834]	3.61813657438539	-20.6262022076706	4.279632909893	-4.81961949586613	1.43832281724923e-06	0.00180183290987411	0.353004105506935
ENSG00000228998	AC091167.1	15	90275129	90275716	PERP, TP53 apoptosis effector (PERP) pseudogene	2.50300230714316	-20.5427372862774	2.94086393404049	-6.98527294938581	2.84302700971372e-12	1.95676094280827e-08	0.239481675072969
ENSG00000259753	AC068234.1	17	47253897	47344292	novel protein	3.85968500226512	-19.6808570912583	4.27283252812293	-4.60604457622029	4.10400451258994e-06	0.181331992533379	0.000783111978165027
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	5.47601748608493	-18.6642191031803	4.28044412879546	-4.36034638967066	1.29856715317487e-05	0.0146890874435956	0.160284436624269
ENSG00000256861	AC048338.1	12	122207779	122266423	novel protein	10.32493727843	-18.6053789774601	4.29686233734765	-4.32999186772754	1.49114848480257e-05	0.0160858259166467	0.160070015132755
ENSG00000196826	AC008758.1	19	12461559	12551474	novel zinc finger protein	7.13913392975068	-18.5657817727478	4.04697650919706	-4.58756845525435	4.48438406739845e-06	0.00685045585812487	0.152713543768218
ENSG00000254673	AC110275.1	8	43018424	43077334	novel protein	1.93334902724321	-17.8873084999023	4.03815340868713	-4.42957626657324	9.44184190224443e-06	0.260837450628069	0.000783111978165027
ENSG00000258864	AC008575.1	5	112827213	112867582	novel protein	2.61308019225642	-17.5397542696713	3.66431578409571	-4.78663829842378	1.69598085238538e-06	0.031751157041432	0.00672543925688761
ENSG00000234196	ZBTB12	CHR_HSCHR6_MHC_MCF_CTG1	31976089	31978474	zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]	8.12915658798863	-9.17500697245917	4.23262347556113	-2.16768796597075	0.0301824356976521	0.74612041729737	0.160070015132755
ENSG00000274049	INO80B-WBP1	2	74455088	74460884	INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]	12.8878671371199	-6.88246163698844	3.27517653104481	-2.10140173262443	0.035605715989984	0.618475175386333	0.317086863880644
ENSG00000267618	AC004223.3	17	35011349	35121493	RAD51L3-RFFL readthrough	4.40757451101881	-5.27589366443861	2.31278784478697	-2.28118358384254	0.0225375857496607	0.586360292878089	0.239481675072969
ENSG00000107742	SPOCK2	10	72059034	72089032	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	4.34585584292625	-3.97579171848549	1.60854264161145	-2.47167318766415	0.0134482394302188	0.562121340322792	0.160070015132755
ENSG00000169752	NRG4	15	75935969	76059795	neuregulin 4 [Source:HGNC Symbol;Acc:HGNC:29862]	11.0403502942992	-3.75516100693873	1.0839232140082	-3.4644160752427	0.000531383917748183	0.0986147790190152	0.317086863880644
ENSG00000181656	GPR88	1	100538139	100542021	G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]	2.73129422408883	-3.70580047479065	1.52168787275938	-2.43532234246611	0.0148785288225651	0.584094836487781	0.160070015132755
ENSG00000282705	NPIPA5	CHR_HSCHR16_1_CTG1	15448713	15463457	nuclear pore complex interacting protein family member A5 [Source:HGNC Symbol;Acc:HGNC:41980]	2.00742858520484	-3.67376105695696	1.74381563544726	-2.10673707832347	0.0351403763066939	0.687989335872939	0.239481675072969
ENSG00000215328	HSPA1A	CHR_HSCHR6_MHC_QBL_CTG1	31805699	31808181	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5.4187813216895	-3.60893417175751	1.72308823567764	-2.09445697384047	0.036219292041101	0.794294221731313	0.160070015132755
ENSG00000250366	TUNAR	14	95876392	95925571	TCL1 upstream neural differentiation-associated RNA [Source:HGNC Symbol;Acc:HGNC:44088]	2.00474500969666	-3.44356246300772	1.44666236844616	-2.38034978867005	0.0172962111289457	1	0.00672543925688761
ENSG00000243304	AC008494.1	5	115264669	115265464	ribosomal protein S2 (RPS2) pseudogene	2.05867017945448	-3.42715732563922	1.61546711606313	-2.12146523538724	0.0338826705140061	0.589541111795237	0.353004105506935
ENSG00000226404	LY6G5C	CHR_HSCHR6_MHC_DBB_CTG1	31658863	31666220	lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]	2.10292508664039	-3.40159809343466	1.72280255407415	-1.9744561472761	0.0483298991028824	1	0.00672543925688761
ENSG00000228883	LY6G5C	CHR_HSCHR6_MHC_MANN_CTG1	31716138	31723494	lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]	2.10292508664039	-3.40159809343466	1.72280255407415	-1.9744561472761	0.0483298991028824	1	0.00672543925688761
ENSG00000231325	LY6G5C	CHR_HSCHR6_MHC_COX_CTG1	31664094	31671449	lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]	2.10292508664039	-3.40159809343466	1.72280255407415	-1.9744561472761	0.0483298991028824	1	0.000783111978165027
ENSG00000237495	LY6G5C	CHR_HSCHR6_MHC_MCF_CTG1	31752963	31760319	lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]	2.10292508664039	-3.40159809343466	1.72280255407415	-1.9744561472761	0.0483298991028824	0.763250907752449	0.239481675072969
ENSG00000166126	AMN	14	102922656	102933596	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	3.3826366250488	-3.30783133164643	1.46938384693061	-2.25116897708938	0.0243748369778707	1	0.000783111978165027
ENSG00000081985	IL12RB2	1	67307364	67397090	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	4.09245413799534	-3.30203867534642	1.16937935802619	-2.82375317529119	0.00474649221416171	0.379304408028195	0.160070015132755
ENSG00000127585	FBXL16	16	692498	705808	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	12.1415400037898	-3.17384293459235	1.10242076516256	-2.87897600887836	0.00398968683528088	0.266818660900951	0.317086863880644
ENSG00000196091	MYBPC1	12	101568353	101686028	myosin binding protein C, slow type [Source:HGNC Symbol;Acc:HGNC:7549]	18.9247331110815	-3.05376765306659	0.828343360779896	-3.68659640151087	0.000227273371395838	0.0590703277837606	0.317086863880644
ENSG00000223618	VPS52	CHR_HSCHR6_MHC_MANN_CTG1	33404140	33405839	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	9.90714559436307	-2.90121285158696	1.43432765773826	-2.02269881357637	0.0431042093008574	0.847782360703826	0.160070015132755
ENSG00000092929	UNC13D	17	75827225	75844717	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	9.56219638871936	-2.71883930745736	0.943925944463338	-2.88035234480512	0.00397230967947754	0.354088546644579	0.160284436624269
ENSG00000237693	IRGM	5	150846523	150900736	immunity related GTPase M [Source:HGNC Symbol;Acc:HGNC:29597]	5.88685146995563	-2.69810479483194	0.938371298793579	-2.87530618029427	0.00403635874715489	0.362994879574706	0.152713543768218
