ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000269711	AC008763.3	19	7678501	7682854	novel protein	13.6005531968769	-25.3734321997235	4.23546255923312	-5.99071101323056	2.08925600503087e-09	1.14976467770227e-05	0.143244058930298
ENSG00000244398	AC116533.1	11	16974693	16975013	ribosomal protein L36a (RPL36A) pseudogene	3.33832051976656	-20.7950166604317	4.29612176806965	-4.84041602707538	1.29567597165847e-06	0.00364442511109594	0.143244058930298
ENSG00000203812	H2AC18	1	149842188	149842736	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	4.37272878558702	-19.5157839957663	4.2966182685623	-4.54212656929761	5.56895872289608e-06	0.0110367994862938	0.143244058930298
ENSG00000229944	EIF4EP2	17	49424269	49424922	eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]	2.18594624783375	-18.5127732036172	4.29747357684848	-4.30782711576168	1.6486616604453e-05	0.00574843933952572	1
ENSG00000151224	MAT1A	10	80271820	80289658	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	14.0352374817728	-7.9214124116944	1.24259156523833	-6.37491242762064	1.83067526908483e-10	2.07449833148606e-07	1
ENSG00000171564	FGB	4	154562956	154571086	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	12.2326515064217	-7.84204634645234	1.15012352304768	-6.81843835840513	9.20354501292468e-12	1.39057895524448e-08	1
ENSG00000146678	IGFBP1	7	45888360	45893660	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	39.8195112767571	-7.37307928112697	0.949718003623423	-7.76344057182948	8.26558619440091e-15	1.42181965186598e-11	1.1711388688432
ENSG00000256069	A2MP1	12	9228533	9275817	alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]	8.8929276300074	-7.26709372021562	1.19202559767238	-6.09642421639751	1.08467334685707e-09	9.83310622593279e-07	1
ENSG00000198650	TAT	16	71565660	71577092	tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]	32.4656591630499	-7.12924988613201	0.760917950727129	-9.36927546435109	7.30321253058515e-21	1.83793186174168e-17	1.02922007959346
ENSG00000171557	FGG	4	154604134	154612967	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	12.3867501751983	-6.93970247136554	1.14406012600144	-6.06585468162433	1.31253767955169e-09	1.13322003180722e-06	1
ENSG00000136872	ALDOB	9	101420560	101449664	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	92.7397650983458	-6.93440255780862	0.509761909287859	-13.6032183485346	3.83192981137505e-42	2.62101737606034e-38	1.32537693272511
ENSG00000196565	HBG2	11	5253188	5505605	hemoglobin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4832]	9.70845577925666	-6.64881499480232	1.04228615637739	-6.37906869828455	1.78168106511078e-10	2.07449833148606e-07	1
ENSG00000131482	G6PC	17	42900797	42914438	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]	17.1448292915764	-6.54098000736668	0.815230510429444	-8.02347302227569	1.02796570837145e-15	2.32526822911544e-12	1.00192990775805
ENSG00000104760	FGL1	8	17864380	17910365	fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]	3.31705072152707	-5.94124630621549	1.71639537708231	-3.46146720362006	0.000537239574184897	0.23028778954315	0.143244058930298
ENSG00000171759	PAH	12	102836889	102958410	phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]	5.12936361066864	-5.93550324037368	1.2886117832712	-4.60612212105195	4.10247520012322e-06	0.00938098871612253	0.143244058930298
ENSG00000215583	ASS1P6	Y	11922536	11923769	argininosuccinate synthetase 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:769]	3.90532143830357	-5.92033726247417	1.38634868943692	-4.27045324713999	1.95076113242747e-05	0.082543947038767	0.0324613583365249
ENSG00000280787	HERC2P2	CHR_HSCHR15_3_CTG3	22497423	22593430	hect domain and RLD 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4870]	59.5681802451415	-5.77782589685434	2.10036418495026	-2.75086860567048	0.00594374788457141	0.289462334732392	1.02922007959346
ENSG00000047457	CP	3	149162410	149221829	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	5.71088825017308	-5.71512668885155	1.11292570541121	-5.13522750086888	2.81802923742517e-07	0.00104908751098336	0.143244058930298
ENSG00000134240	HMGCS2	1	119748002	119768905	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	6.80765139768938	-5.6561761308673	1.20924661075307	-4.67743806810826	2.90481264591004e-06	0.00232073217173489	0.581902542350024
ENSG00000163220	S100A9	1	153357854	153361023	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	6.07826098886101	-5.45451615827903	1.31581473847083	-4.14535268438926	3.39291077314106e-05	0.0139101031237852	0.581902542350024
