ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000284741	PDE11A	2	177628069	178108339	phosphodiesterase 11A [Source:NCBI gene;Acc:50940]	2.10004496946262	19.5318492442866	4.21040912873424	4.63894330624311	3.50195093970058e-06	0.00553373570491923	0.216489846640633
ENSG00000204388	HSPA1B	6	31827738	31830254	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	6.90890735768224	18.8370497982958	4.24897957850063	4.43331144579023	9.27966649423072e-06	0.0035632511160946	1.02647851715202
ENSG00000177370	TIMM22	17	997129	1003671	translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317]	2.53386823143192	17.3047772650756	2.94469908147737	5.87658595539538	4.18813985301564e-09	3.69004523458168e-06	1.08307278306212
ENSG00000285446	Z84488.2	6	116399395	116463696	novel protein	5.76964987307024	16.1857639279387	4.2746068946207	3.78649179373836	0.000152789139499299	0.0337603293030907	0.976850903838004
ENSG00000228589	SPCS2P4	1	28095742	28096422	signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237]	11.8184142349788	16.0302436884733	4.29734458192534	3.7302672343048	0.0001912767836503	0.0581791498850239	0.583264727839735
ENSG00000284554	AL022318.4	22	39014363	39033276	novel protein	2.16250027124723	14.0608051347048	3.68737457337184	3.81322940073518	0.000137162689541388	0.0306726553824242	0.976850903838004
ENSG00000262660	AC139530.2	17	81703371	81720539	novel protein	2.38749886208741	13.9230484877187	3.70456649162156	3.75834757432692	0.000171039181829701	0.055966487252214	0.583264727839735
ENSG00000269711	AC008763.3	19	7678501	7682854	novel protein	13.6005531968769	13.6676276762853	4.30435772893091	3.17530013465679	0.00149681594856304	0.25287542342006	0.583264727839735
ENSG00000261862	KRTAP1-5	CHR_HSCHR17_4_CTG4	41026153	41027329	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	73.3930151008217	9.47910359902801	2.56738514211916	3.69212372679067	0.000222389221911635	0.0390787213154136	1.1997664055371
ENSG00000136872	ALDOB	9	101420560	101449664	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	92.7397650983458	7.82301338117186	0.593280951243719	13.1860181331832	1.05618376232613e-39	4.84842854031357e-36	1.97483242616757
ENSG00000188581	KRTAP1-1	17	41040541	41041450	keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]	39.7954255987022	7.07693047695553	3.44292725770671	2.0554981117055	0.0398309178646111	0.727029141134551	1.33022791376257
ENSG00000143546	S100A8	1	153390032	153391073	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	6.31360345149732	6.73743883521078	1.27816904500281	5.27116414026124	1.35561167385297e-07	8.55163511807263e-05	1.02647851715202
ENSG00000163220	S100A9	1	153357854	153361023	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	6.07826098886101	6.48398396389144	1.30126259860204	4.98284048958085	6.26576009393475e-07	0.000335375795527955	1.02647851715202
ENSG00000169562	GJB1	X	71215194	71225516	gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]	5.27266702793366	6.31523803928864	1.52017841521512	4.15427424576014	3.26321610484185e-05	0.00976894403071786	0.976850903838004
ENSG00000005421	PON1	7	95297676	95324532	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	5.41221656371639	6.22052729412825	1.22633198067956	5.07246601420375	3.92693284547956e-07	0.000227770235782821	0.976850903838004
ENSG00000237674	GSTA7P	6	52739590	52744656	glutathione S-transferase alpha 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:4631]	5.48399022832196	6.15654673528205	1.39675607287858	4.40774653128517	1.04451678953382e-05	0.00579806983956736	0.583264727839735
ENSG00000171557	FGG	4	154604134	154612967	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	12.3867501751983	6.13103577688495	1.15512063112372	5.30770173407824	1.11016107555492e-07	0.000115032560117464	0.583264727839735
ENSG00000151224	MAT1A	10	80271820	80289658	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	14.0352374817728	6.06068444904431	1.25542810574893	4.82758385071267	1.38199505954212e-06	0.000693263350356454	0.976850903838004
ENSG00000277132	UGT2B15	CHR_HSCHR4_1_CTG9	68529322	68553341	UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]	2.86106110259216	5.98480222073639	2.60667415102688	2.29595333900047	0.0216785494660573	0.960966930519114	0.216489846640633
ENSG00000145321	GC	4	71741696	71804041	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	6.82973761221109	5.93610166006946	1.231576661658	4.81992054971066	1.43615404416598e-06	0.000667824949891248	1.08307278306212
ENSG00000205236	AC105052.1	7	102582523	102642869	novel protein, UPK3BL-RASA4 readthrough	16.5707256602866	5.85315592502609	2.1760318157474	2.68983012227498	0.0071488400211095	0.364938781820601	1.33022791376257
ENSG00000151365	THRSP	11	78063861	78068351	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]	2.26836597047372	5.58034557227261	2.00315581630219	2.78577708576554	0.00533995796629858	0.367621440894086	0.976850903838004
ENSG00000240520	UOX	1	84363706	84397831	urate oxidase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12575]	5.97775809012944	5.32338739907726	1.17975819233854	4.51226991568938	6.41374944685507e-06	0.00269733317026567	1.02647851715202
ENSG00000117601	SERPINC1	1	173903804	173917378	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	20.3753254875957	5.06769608166695	0.634949608793094	7.98125711314255	1.44850381366537e-15	2.97594624199443e-12	1.26071894497501
ENSG00000270181	BIVM-ERCC5	13	102799110	102875994	BIVM-ERCC5 readthrough [Source:HGNC Symbol;Acc:HGNC:43690]	46.7301056563589	5.00130715682582	2.22716801094723	2.24559042346282	0.0247302544521385	0.657336420055099	1.17289884334472
ENSG00000138115	CYP2C8	10	95036772	95069497	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	2.93094865629456	4.94227147979154	1.66023450126404	2.97685144841206	0.00291225081731361	0.278625282048928	0.976850903838004
ENSG00000124253	PCK1	20	57561080	57568121	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	5.87101843162698	4.91465501771215	1.27003737665296	3.86969321380461	0.000108972391324139	0.0233876181280138	1.08307278306212
