ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000196826	AC008758.1	19	12461559	12551474	novel zinc finger protein	7.13913392975068	-27.5254926471823	4.0029932574189	-6.87622758198961	6.14582907675498e-12	4.22617444096431e-08	0.527332832788696
ENSG00000259753	AC068234.1	17	47253897	47344292	novel protein	3.85968500226512	-22.5110218138751	4.22973712841523	-5.32208530469819	1.02584443551513e-07	0.00186650781584611	0.0711779402859018
ENSG00000285447	ZNF883	9	112997120	113050043	zinc finger protein 883 [Source:NCBI gene;Acc:169834]	3.61813657438539	-22.1707620336875	4.26642391767569	-5.19656800671743	2.03001358275859e-07	0.000978148454433093	0.342076502732241
ENSG00000262304	AC027796.3	17	3585149	3636249	novel readthrough SHPK-TRPV1 protein	2.57026221801443	-21.0515904178307	4.00702747601112	-5.25366759870261	1.49099870766107e-07	0.00243001696357126	0.0711779402859018
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	5.47601748608493	-20.9923950666403	4.2462464414932	-4.94375334919523	7.66326486881925e-07	0.00243001696357126	0.342076502732241
ENSG00000244398	AC116533.1	11	16974693	16975013	ribosomal protein L36a (RPL36A) pseudogene	3.33832051976656	-20.7101412786313	4.29612176806965	-4.82065974771867	1.43084223918165e-06	0.00344720876914337	0.342076502732241
ENSG00000228998	AC091167.1	15	90275129	90275716	PERP, TP53 apoptosis effector (PERP) pseudogene	2.50300230714316	-19.9965403751649	2.95038150948495	-6.77761174644011	1.22178646417994e-11	5.18704959548497e-07	0.0711779402859018
ENSG00000229944	EIF4EP2	17	49424269	49424922	eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]	2.18594624783375	-18.4798328027638	4.29747357684848	-4.30016205389117	1.70673257354292e-05	0.0326088077766912	0.249728850325379
ENSG00000258864	AC008575.1	5	112827213	112867582	novel protein	2.61308019225642	-17.6865940197293	3.64267126912903	-4.85539119865687	1.20149309994587e-06	0.00243001696357126	0.527332832788696
ENSG00000254673	AC110275.1	8	43018424	43077334	novel protein	1.93334902724321	-17.1620322178569	4.03864410943827	-4.24945396346003	2.14292242997258e-05	0.0399027244267359	0.243425274439407
ENSG00000269711	AC008763.3	19	7678501	7682854	novel protein	13.6005531968769	-9.9619845931439	4.21100577098851	-2.3657019569473	0.0179959251788319	0.932725772803448	0.243425274439407
ENSG00000280787	HERC2P2	CHR_HSCHR15_3_CTG3	22497423	22593430	hect domain and RLD 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4870]	59.5681802451415	-7.53079048177195	2.19843468950159	-3.42552385919605	0.000613615037489613	0.30114159963089	0.342076502732241
ENSG00000146678	IGFBP1	7	45888360	45893660	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	39.8195112767571	-7.16473445640448	0.906208372572166	-7.90627704759362	2.65200613800228e-15	1.92375823265984e-11	1.24972885032538
ENSG00000285395	AC099494.7	CHR_HG2263_PATCH	17108698	17259501	Xylosyltransferase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q86Y38]	53.6571696516738	-6.49137172410574	2.18514856036049	-2.97067752822941	0.00297143609156233	0.420639315725863	0.847840809877583
