ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000206285	B3GALT4	CHR_HSCHR6_MHC_QBL_CTG1	33205959	33207652	beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]	2.68130883707228	17.6913979714267	4.24750330955183	4.16512870787931	3.11176963814477e-05	0.0513461402379677	0.249728850325379
ENSG00000234196	ZBTB12	CHR_HSCHR6_MHC_MCF_CTG1	31976089	31978474	zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]	8.12915658798863	17.4019760160632	4.29666605301035	4.0501113657346	5.11932640388405e-05	0.0577315844819331	0.342076502732241
ENSG00000259948	AC124068.1	15	89201091	89201768	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA) pseudogene	9.09801061691444	10.5408219223289	4.23755827850156	2.48747538784439	0.0128653355226295	0.886545167501082	0.243425274439407
ENSG00000188581	KRTAP1-1	17	41040541	41041450	keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]	39.7954255987022	7.06358163762087	3.44291882360739	2.05162596027166	0.040206027257189	0.868895016773296	0.847840809877583
ENSG00000261862	KRTAP1-5	CHR_HSCHR17_4_CTG4	41026153	41027329	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	73.3930151008217	6.76272156939602	2.55954966727132	2.64215289739058	0.00823808570589104	0.5911769365468	0.847840809877583
ENSG00000205236	AC105052.1	7	102582523	102642869	novel protein, UPK3BL-RASA4 readthrough	16.5707256602866	6.19339032766352	2.17731246259648	2.84451149481678	0.00444795809070414	0.579841683917623	0.527332832788696
ENSG00000277132	UGT2B15	CHR_HSCHR4_1_CTG9	68529322	68553341	UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]	2.86106110259216	5.84676282188061	2.6066741056188	2.24299723900186	0.0248969925489906	0.931045044911158	0.342076502732241
ENSG00000151365	THRSP	11	78063861	78068351	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]	2.26836597047372	4.75402103553829	1.99273461182196	2.3856769523322	0.017047718782191	0.919111698846622	0.249728850325379
ENSG00000280830	ADI1	CHR_HSCHR2_1_CTG1	3498728	3502360	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]	3.30085120202272	4.71511340393808	1.93355801056349	2.43856836887142	0.0147455690839661	0.796232502836194	0.527332832788696
ENSG00000148584	A1CF	10	50799409	50885675	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	3.42236465242701	4.27066159103064	1.32176136463785	3.23103829880876	0.00123341411880435	0.473053833636925	0.243425274439407
