ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000203812	H2AC18	1	149842188	149842736	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	68.230875566184	-10.2251885996852	2.57929076879721	-3.96434117602549	7.35989284504832e-05	0.0197220558001177	1.13633557983536
ENSG00000275400	AC006001.4	7	66553805	66554199	translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20) pseudogene	2.13241059610314	-6.8620046729045	3.43337828763416	-1.99861596888961	0.0456499212381397	1	0.0968031726967043
ENSG00000131242	RAB11FIP4	17	31391675	31538211	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	12.133652267969	-4.89295057206683	1.32644109086099	-3.68878090838609	0.000225331149275871	0.102532742053011	0.289647078238256
ENSG00000173809	TDRD12	19	32719753	32829580	tudor domain containing 12 [Source:HGNC Symbol;Acc:HGNC:25044]	40.1871836693352	-4.42579402183721	0.981271305480246	-4.51026540480686	6.47465684064629e-06	0.0092935133428109	0.361887183295464
ENSG00000095627	TDRD1	10	114179270	114232304	tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:11712]	11.5719311325202	-4.39546591870822	1.41479350811092	-3.10678971419455	0.00189130883147143	0.260001698875461	0.361887183295465
ENSG00000280787	HERC2P2	CHR_HSCHR15_3_CTG3	22497423	22593430	hect domain and RLD 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4870]	70.3534425755985	-3.86864025575302	1.46291014889702	-2.64448247807278	0.00818159425202606	0.400340263475922	0.560415025676149
ENSG00000007314	SCN4A	17	63938554	63972918	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	4.64558219543848	-3.82194450877307	1.29332153122221	-2.95513870024361	0.00312528513130039	0.53943653566612	0.0968031726967043
ENSG00000101282	RSPO4	20	958452	1002311	R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]	3.1829981430914	-3.65236196282437	1.56136702981324	-2.33920781794735	0.0193246806763021	0.642871689211147	0.361887183295464
ENSG00000273889	FAM83H	CHR_HSCHR8_3_CTG7	143710940	143720808	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	103.49850257808	-3.60827678038771	1.79248620025803	-2.01300114883356	0.0441145084951074	0.71237753240221	0.560415025676149
ENSG00000110077	MS4A6A	11	60172014	60184666	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	4.5797787925315	-3.59319302023254	1.43927862188603	-2.49652358173988	0.0125417329448459	0.548053193608567	0.361887183295464
ENSG00000100362	PVALB	22	36800684	36819479	parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]	9.93304475945967	-3.58632098008472	0.716350513759337	-5.00637734070163	5.54639775492629e-07	0.00154116187950917	0.397244653741979
ENSG00000274665	PVALB	CHR_HSCHR22_1_CTG5	36800684	36819479	parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]	9.93304475945967	-3.58632098008472	0.716350513759337	-5.00637734070163	5.54639775492629e-07	0.00154116187950917	0.397244653741979
ENSG00000169031	COL4A3	2	227164624	227314792	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	5.21832032052261	-3.5685092700721	1.313220647746	-2.71737219194433	0.00658025641534022	0.425217968734568	0.397244653741979
ENSG00000086967	MYBPC2	19	50432892	50466321	myosin binding protein C, fast type [Source:HGNC Symbol;Acc:HGNC:7550]	5.35038492445522	-3.54989575388954	0.993697977073485	-3.57240915830809	0.000353712198373319	0.119875279733911	0.361887183295465
ENSG00000231738	TSPAN19	12	85014311	85036277	tetraspanin 19 [Source:HGNC Symbol;Acc:HGNC:31886]	4.4935304097925	-3.11473717893178	1.12565797311674	-2.7670369271295	0.00565683471619462	0.443873942730284	0.300501961729412
ENSG00000075340	ADD2	2	70607618	70768225	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	6.45116667944732	-3.1032880481542	1.44830305830072	-2.1427062729504	0.0321366913636053	0.77298192151456	0.289647078238256
ENSG00000163817	SLC6A20	3	45755449	45796536	solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927]	8.40068351395454	-3.0730460072166	1.53634120206611	-2.00023666818536	0.0454747140557672	0.849261062680965	0.289647078238256
