ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000221852	KRTAP1-5	17	41026026	41027208	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	11.9913982631296	-30	4.29689761778377	-6.98178143129071	2.91460335486168e-12	2.39703033306383e-07	0.0715813634620943
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	4.79099393114897	-25.5017156055705	4.23957388940531	-6.01516007759631	1.79709025493212e-09	4.77721336683008e-05	0.0664370806896076
ENSG00000204388	HSPA1B	6	31827738	31830254	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	19.4176829209984	-21.144543062646	4.26559198883646	-4.95700083786345	7.15896680377549e-07	0.000541667530098974	1.45885743671003
ENSG00000277263	AL662796.1	CHR_HSCHR6_8_CTG1	32446915	32452117		3.38316967959728	-20.7114829562369	4.2960876974009	-4.8210102807648	1.42832995114126e-06	0.00503239593111614	0.167088967908446
ENSG00000256349	AP002748.5	11	66509079	66533613	novel protein	4.6173197114559	-20.6785506145135	4.24560554793644	-4.87057744320225	1.11272577404461e-06	0.00799449754174984	0.0664370806896076
ENSG00000284554	AL022318.4	22	39014363	39033276	novel protein	3.97537974855171	-20.3289758131045	4.26668505520653	-4.76458317172897	1.8924444690069e-06	0.0111170402564181	0.0715813634620943
ENSG00000227772	MICB	CHR_HSCHR6_MHC_SSTO_CTG1	31488846	31501875	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	1.8715501066238	-17.6712400608212	3.38305534750313	-5.2234557953252	1.75614402865995e-07	0.00216643398435596	0.0715813634620943
ENSG00000275400	AC006001.4	7	66553805	66554199	translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20) pseudogene	2.13241059610314	-17.4745368154884	3.5671831097562	-4.89869352871057	9.64759857951127e-07	0.00736702525503096	0.0664370806896076
ENSG00000274049	INO80B-WBP1	2	74455088	74460884	INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]	8.51983348444123	-8.96765855195779	4.20405187131985	-2.13309893085178	0.0329166114794943	1	0.0117796832773785
ENSG00000261459	AC002310.4	16	30525923	30534852	novel transcript	3.3943449790657	-8.44581848049426	4.23662179183555	-1.99352665767105	0.0462038074678146	1	0.0679324488386911
ENSG00000285238	AC006064.6	12	6556886	6607367	novel transcript	18.0907430137704	-5.99948021481185	2.40465503447705	-2.494944234742	0.0125976926604978	0.434471533021474	1.09759764287737
ENSG00000129991	TNNI3	19	55151767	55157773	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	7.66398282620437	-5.70898447000774	1.18390216600953	-4.82217588067304	1.42000650437444e-06	0.00503239593111614	0.167088967908446
ENSG00000180921	FAM83H	8	143723933	143738234	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	73.4390741672008	-5.56403707126466	1.05858410523835	-5.25611242765811	1.47132365315161e-07	0.000234212915570124	0.90266872016188
ENSG00000198626	RYR2	1	237042184	237833988	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	2.90854367189076	-4.33188851023028	1.74514290413008	-2.48225431853081	0.0130554060812941	0.901379650937573	0.0715813634620943
ENSG00000273897	AC211476.5	7	73037371	73049246	PMS2 postmeiotic segregation increased 2 (S. cerevisiae) (PMS2) pseudogene	7.32549164612772	-4.30856006318386	2.05897463982907	-2.09257558584672	0.0363870578508405	1	0.0517518738049447
ENSG00000206444	HLA-V	CHR_HSCHR6_MHC_QBL_CTG1	29788252	29794972	major histocompatibility complex, class I, V (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23482]	3.38481493406023	-4.25147229453296	1.57171008796446	-2.70499777731851	0.00683048464938476	0.812747197375875	0.0715813634620943
ENSG00000244672	LY6G5B	CHR_HSCHR6_MHC_DBB_CTG1	31652558	31655955	lymphocyte antigen 6 family member G5B [Source:HGNC Symbol;Acc:HGNC:13931]	3.35285760030926	-4.10022000649426	1.73787241068352	-2.35933316006876	0.0183078111490297	0.93640385880521	0.0715813634620943
ENSG00000164684	ZNF704	8	80628451	80874781	zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291]	10.5279226167843	-4.03286258867746	1.44424283102522	-2.79237154725197	0.00523232375286382	0.821389718018219	0.0517518738049447
ENSG00000276368	H2AC14	6	27814354	27814740	H2A clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4727]	2.14463958425014	-3.9140904962601	1.89911292440181	-2.06100987780544	0.0393020977279812	1	0.0679324488386911
ENSG00000234865	AC026784.2	5	23980587	23980938	alcohol dehydrogenase 5 (class III), chi polypeptide (ADH5) pseudogene	2.7517207093899	-3.65816910743204	1.71702622849129	-2.13052604947473	0.0331282075409547	0.9966090362741	0.0679324488386911
ENSG00000268870	AC008758.5	19	12391949	12441082	novel zinc finger protein	2.81445967580496	-3.62281579374303	1.66938763136256	-2.17014654097208	0.0299957463958404	0.989704442147979	0.0683519588188879
ENSG00000237333	MSH5	CHR_HSCHR6_MHC_SSTO_CTG1	31730753	31755602	mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328]	4.93742026231246	-3.53953734559264	1.20844572919472	-2.92899983845472	0.00340054599065764	0.696951463463124	0.0664370806896076
ENSG00000166664	CHRFAM7A	15	30357766	30393849	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781]	2.84194783065434	-3.28513693909102	1.65135785104098	-1.98935496447372	0.0466620368168498	0.946609280332374	0.167088967908446
ENSG00000163898	LIPH	3	185506262	185552588	lipase H [Source:HGNC Symbol;Acc:HGNC:18483]	3.4561352077081	-3.2708903647191	1.50441310662416	-2.17419693455001	0.0296903485024035	0.983202906245976	0.0715813634620943
ENSG00000258543	CR354443.1	CHR_HSCHR6_MHC_MANN_CTG1	31705556	31711904	novel protein	13.1158471636152	-3.13559757046528	1.5867828553409	-1.9760722520484	0.0481465946027429	1	0.0664370806896076
ENSG00000277075	H2AC8	6	26216975	26217483	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	2.24779567498168	-3.01075947799504	1.51672240749698	-1.98504318464157	0.0471396670693046	1	0.0683519588188879
ENSG00000182613	OR2V2	5	181147586	181159285	olfactory receptor family 2 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:15341]	2.59237064118024	-3.00334500089942	1.46964501257563	-2.04358533877232	0.0409945288764099	1	0.0664370806896076
ENSG00000164303	ENPP6	4	184088706	184221230	ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:HGNC Symbol;Acc:HGNC:23409]	3.50090993987224	-2.90103690443659	1.11064458938239	-2.61202992583776	0.00900063751039198	0.848666515003972	0.0715813634620943
ENSG00000099725	PRKY	Y	7273972	7381548	protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444]	56.7997883402291	-2.86669539002455	1.3100367025686	-2.18825578276074	0.0286509758178497	0.56016161933967	1.09759764287737
ENSG00000134571	MYBPC3	11	47331406	47352702	myosin binding protein C, cardiac [Source:HGNC Symbol;Acc:HGNC:7551]	3.47214099011763	-2.81199557917197	1.35916194002604	-2.06891871848479	0.038553714739169	1	0.0664370806896076
ENSG00000085465	OVGP1	1	111414319	111427735	oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]	3.67399429952097	-2.79010758403319	1.24419564886798	-2.24249906883354	0.0249291354227522	0.971482543540331	0.0715813634620943
ENSG00000235034	C19orf81	19	50649445	50659310	chromosome 19 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:40041]	2.72891784936529	-2.7548070950177	1.36564876514898	-2.01721494231878	0.043673087401609	1	0.0683519588188879
ENSG00000248710	AC079594.2	3	160227454	160449829	TRIM59 and iFT80 readthrough	10.9519989897057	-2.74243550435761	1.22488041118363	-2.23894143405195	0.0251597270643914	0.870954121999908	0.167088967908446
ENSG00000184923	NUTM2A	10	87225448	87236908	NUT family member 2A [Source:HGNC Symbol;Acc:HGNC:23438]	11.7592147911911	-2.71316950454231	0.912104835312951	-2.97462462591967	0.00293347269878844	0.934386444929361	0.0117796832773785
ENSG00000058335	RASGRF1	15	78959947	79090773	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	4.75205666776681	-2.71134308819746	0.95876690155602	-2.82794815277531	0.00468473930827895	0.757250892650376	0.0679324488386911
ENSG00000100628	ASB2	14	93934166	93976739	ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]	7.96454537997904	-2.6223072077901	1.0031973186548	-2.61394957804152	0.00895022440721125	0.855199649214158	0.0664370806896076
ENSG00000118514	ALDH8A1	6	134917393	134950115	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	3.32022444538349	-2.5138698321595	1.22997212551526	-2.04384292945371	0.0409690666319903	0.932663326915206	0.167088967908446
ENSG00000188095	MESP2	15	89760591	89778754	mesoderm posterior bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29659]	3.43840407373722	-2.42358537446721	1.02643438609381	-2.36116931320899	0.018217411144561	0.93885771099326	0.0683519588188879
ENSG00000244734	HBB	11	5225464	5229395	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	3.59261223446358	-2.40065615222853	1.1131057220966	-2.15671890331024	0.0310275731920226	0.989404827990537	0.0715813634620943
ENSG00000149506	ZP1	11	60867562	60875693	zona pellucida glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:13187]	6.28323507105186	-2.33197574742284	0.967169743660532	-2.41113389113767	0.0159030091244083	0.93008540682366	0.0664370806896076
ENSG00000175344	CHRNA7	15	31923438	32173018	cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]	5.79955974663382	-2.31342216403378	1.01071694642477	-2.28889222864728	0.0220856149103957	0.967250967572145	0.0664370806896076
ENSG00000221836	OR2A5	7	144048948	144058845	olfactory receptor family 2 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8232]	8.19798492105187	-2.26042070920583	1.04927434419136	-2.15427044577922	0.0312189691648567	1	0.0117796832773785
ENSG00000284896	OR2A5	CHR_HSCHR7_3_CTG4_4	144048948	144058845	olfactory receptor family 2 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8232]	8.19798492105187	-2.26042070920583	1.04927434419136	-2.15427044577922	0.0312189691648567	0.989704442147979	0.0715813634620943
ENSG00000278326	PPP4R4	CHR_HSCHR14_7_CTG1	94146128	94279735	protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]	126.901855911635	-2.20200964110751	1.11585658791921	-1.97338050870291	0.0484522265925633	0.602841769935939	1.45885743671003
ENSG00000219682	AL133268.1	6	25140003	25141403	nucleoporin 50kD (NUP50) pseudogene	9.10603265934347	-2.1436050776089	0.999617237382062	-2.14442588367411	0.0319987781576407	0.906773666399477	0.167088967908446
ENSG00000234618	RPSAP9	9	76398699	76399586	ribosomal protein SA pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:31463]	3.07275733596553	-2.09930670512969	1.02681568677358	-2.04448250272261	0.0409059042259371	0.931626734632561	0.167088967908446
ENSG00000181577	C6orf223	6	44000580	44007612	chromosome 6 open reading frame 223 [Source:HGNC Symbol;Acc:HGNC:28692]	6.06782670605904	-2.08769466195986	0.865812663682931	-2.41125447747481	0.0158977516753443	0.812318819695262	0.167088967908446
ENSG00000235946	H2BW3P	X	104062542	104063037	H2B.W histone 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:44390]	3.46531652238281	-2.04225833718749	1.03747693761189	-1.96848552786961	0.0490121996581033	1	0.0679324488386911
ENSG00000164440	TXLNB	6	139240061	139291998	taxilin beta [Source:HGNC Symbol;Acc:HGNC:21617]	9.13341106837713	-1.89247648529321	0.812560948290783	-2.32902712008745	0.0198576290272933	0.95512314358904	0.0664370806896076
ENSG00000140274	DUOXA2	15	45114326	45118421	dual oxidase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:32698]	6.93835198607743	-1.78671413407472	0.815325892254432	-2.19141100638217	0.0284220633429975	0.988985451311889	0.0664370806896076
ENSG00000203685	STUM	1	226548764	226609230	stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]	209.551821186656	-1.78385376219695	0.340054867190727	-5.24578217901654	1.55620675253942e-07	0.000234212915570124	0.902668720161881
ENSG00000274615	AC233968.1	17	38078262	38124770	aminopeptidase puromycin sensitive (NPEPPS) pseudogene	13.1426916076518	-1.76741253716602	0.870821812561839	-2.0295914866516	0.0423980809910613	1	0.0664370806896076
ENSG00000269533	AC003002.3	19	57389884	57419994	novel transcript	5.70064567078017	-1.7268167829414	0.845508662724244	-2.04234073412987	0.0411177441565165	0.933136402230474	0.167088967908446
ENSG00000197616	MYH6	14	23381982	23408273	myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]	94.163236888929	-1.70838400185723	0.308313485062437	-5.54106156437259	3.00643489155093e-08	4.04400543447989e-05	1.45885743671003
