ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	4.79099393114897	23.8490690241555	4.2395654839975	5.62535691786702	1.85124798924643e-08	0.000321510084652886	0.09254413985323
ENSG00000274049	INO80B-WBP1	2	74455088	74460884	INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]	8.51983348444123	21.1273941995417	4.23601459371657	4.9875640728152	6.11453441973607e-07	0.00150763678599057	0.511627551289087
ENSG00000284554	AL022318.4	22	39014363	39033276	novel protein	3.97537974855171	18.4377245434901	4.26663935017406	4.3213693565963	1.55063852793103e-05	0.0168166755373905	0.361887183295464
ENSG00000277263	AL662796.1	CHR_HSCHR6_8_CTG1	32446915	32452117		3.38316967959728	17.7749285334142	4.29608546031801	4.13747089009223	3.51154982469082e-05	0.0308029287470578	0.300501961729412
ENSG00000283765	AC131160.1	3	183815568	183884889	presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]	2.78399747797752	16.7166693988315	4.27068282434521	3.91428492500952	9.06725167422997e-05	0.0527030190594325	0.361887183295464
ENSG00000221852	KRTAP1-5	17	41026026	41027208	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	11.9913982631296	12.1672334797311	4.29692039000762	2.83161715260672	0.00463132642239154	0.346016623248391	0.478069613896054
ENSG00000129991	TNNI3	19	55151767	55157773	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	7.66398282620437	6.33497274521499	1.18848380046484	5.33029793316262	9.80517763039974e-08	0.000321510084652886	0.511627551289087
ENSG00000166664	CHRFAM7A	15	30357766	30393849	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781]	2.84194783065434	5.16557001606663	1.6392181734108	3.15124008497197	0.00162578790976241	0.417278218488385	0.101924237657685
ENSG00000267314	AC104532.1	19	5904841	5914707	novel protein, readthrough VMAC-CAPS	2.37495808336192	5.00466236305817	1.95956545520702	2.55396539562362	0.0106503840714517	0.770262741635791	0.0968031726967043
ENSG00000284776	AL121900.1	20	18567453	18744216	novel protein	9.17303582712259	4.8523318035894	1.73711174039425	2.79333314648378	0.00521679342795105	0.350196179004497	0.511627551289087
ENSG00000228144	AC078927.1	12	66123917	66169985	novel protein	4.13230446398304	4.73496088672462	1.67590370653842	2.82531798709645	0.00472337148507743	0.414328950361782	0.300501961729412
ENSG00000134571	MYBPC3	11	47331406	47352702	myosin binding protein C, cardiac [Source:HGNC Symbol;Acc:HGNC:7551]	3.47214099011763	4.41013770876554	1.41473335162276	3.11729252986574	0.00182520364215991	0.277189654351665	0.300501961729412
ENSG00000257473	HLA-DQA2	CHR_HSCHR6_MHC_COX_CTG1	32565603	32671108	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	3.74576020426699	4.08862428841884	1.95326817318737	2.09322219270432	0.036329324541219	1	0.09254413985323
ENSG00000141431	ASXL3	18	33578219	33751195	ASXL transcriptional regulator 3 [Source:HGNC Symbol;Acc:HGNC:29357]	5.45379012171612	4.08862128028995	1.42931410555935	2.86054777210073	0.00422909831568712	0.322328781008283	0.511627551289087
ENSG00000198626	RYR2	1	237042184	237833988	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	2.90854367189076	3.99099623955256	1.7227091631428	2.31669763239178	0.0205202086432793	0.892035825352105	0.101924237657685
ENSG00000240216	CPHL1P	3	149229356	149291800	ceruloplasmin and hephaestin like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:31714]	3.30976622006848	3.75063307828457	1.42676415708268	2.62876878401089	0.00856946042501488	0.510792534950076	0.300501961729412
ENSG00000086548	CEACAM6	19	41750977	41772211	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	2.98330572940445	3.44711182972017	1.39871755372481	2.46448028091193	0.0137212113374581	0.567482579871728	0.361887183295464
