ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000221852	KRTAP1-5	17	41026026	41027208	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	11.9913982631296	-29.8639130734351	4.23557415211	-7.05073550856336	1.77974509239322e-12	1.90257954879052e-08	0.826038472260942
ENSG00000244398	AC116533.1	11	16974693	16975013	ribosomal protein L36a (RPL36A) pseudogene	5.72615254210801	-21.3832756639053	4.29595186682673	-4.97754079346806	6.43972128287592e-07	0.0010172257254006	1
ENSG00000227772	MICB	CHR_HSCHR6_MHC_SSTO_CTG1	31488846	31501875	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	1.8715501066238	-20.1579334976063	3.31620248373846	-6.07861962484319	1.21221531994274e-09	3.56815579425145e-06	1
ENSG00000204388	HSPA1B	6	31827738	31830254	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	19.4176829209984	-19.1419972445504	4.26842620818733	-4.48455620664916	7.30658450248091e-06	0.00682184127077615	1
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	4.79099393114897	-18.844526967095	4.29698061676335	-4.38552757105277	1.15705000669707e-05	0.00851444173678208	1
ENSG00000284554	AL022318.4	22	39014363	39033276	novel protein	3.97537974855171	-18.7156383533546	4.26895773205473	-4.38412360301032	1.16453642464473e-05	0.00957623389145598	0.826038472260942
ENSG00000256349	AP002748.5	11	66509079	66533613	novel protein	4.6173197114559	-18.039717182802	4.27690042721278	-4.21794182254515	2.46542406324044e-05	0.0150144325451343	1
ENSG00000259040	BLOC1S5-TXNDC5	6	7881522	8064364	BLOC1S5-TXNDC5 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:42001]	12.9809392174336	-8.69994067826076	4.14890445480909	-2.09692480822894	0.0360002320483207	0.914656656193079	1
ENSG00000180921	FAM83H	8	143723933	143738234	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	73.4390741672008	-6.4462881256863	1.0566136279734	-6.10089436197257	1.05476603389805e-09	3.56815579425145e-06	1
ENSG00000129991	TNNI3	19	55151767	55157773	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	7.66398282620437	-5.44819950639381	1.18767797744816	-4.58726995856216	4.49079827432295e-06	0.00491726582595937	1
ENSG00000198626	RYR2	1	237042184	237833988	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	2.90854367189076	-5.12510794229845	1.76394716522852	-2.90547701389598	0.00366693781686483	0.455442408691009	0.826038472260942
ENSG00000215328	HSPA1A	CHR_HSCHR6_MHC_QBL_CTG1	31805699	31808181	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	3.77384373130923	-4.60346953885216	2.32957729491492	-1.97609649995335	0.0481438487707131	1	1
ENSG00000275935	LENG1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54156127	54160192	leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]	4.50323248475234	-4.25137387106083	1.93596788140762	-2.19599400996762	0.0280923721282828	0.879213263964543	1
ENSG00000276628	LENG1	CHR_HSCHR19LRC_LRC_I_CTG3_1	54156127	54160192	leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]	4.50323248475234	-4.25137387106083	1.93596788140762	-2.19599400996762	0.0280923721282828	0.914135425444582	0.826038472260942
