ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000256861	AC048338.1	12	122207779	122266423	novel protein	10.32493727843	-27.024868396712	4.2360776526553	-6.37969145343027	1.77445125132068e-10	2.41097448143225e-07	1.02647851715202
ENSG00000262304	AC027796.3	17	3585149	3636249	novel readthrough SHPK-TRPV1 protein	2.57026221801443	-25.9664767109353	3.97686923265013	-6.5293765502145	6.60440205738729e-11	3.95084228662172e-07	0.216489846640633
ENSG00000229944	EIF4EP2	17	49424269	49424922	eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]	2.18594624783375	-24.0754786123565	4.24174638654667	-5.67584113201947	1.38008817698564e-08	1.45359388524886e-05	0.797014812376615
ENSG00000278312	LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	5.47601748608493	-23.7040279488402	4.2381064379105	-5.59307046581089	2.23088694815257e-08	1.64186790813941e-05	1.02647851715202
ENSG00000254673	AC110275.1	8	43018424	43077334	novel protein	1.93334902724321	-23.5241726887722	3.97552103459298	-5.9172552437974	3.27358476272418e-09	3.22358246458665e-06	1.08307278306212
ENSG00000196826	AC008758.1	19	12461559	12551474	novel zinc finger protein	7.13913392975068	-22.2253842860323	4.00560934990009	-5.54856511072071	2.8802362164177e-08	2.13836370052761e-05	0.976850903838004
ENSG00000258864	AC008575.1	5	112827213	112867582	novel protein	2.61308019225642	-20.7177512886938	3.61595132906399	-5.72954373643539	1.00701123754533e-08	1.14540661380499e-05	0.797014812376615
ENSG00000259753	AC068234.1	17	47253897	47344292	novel protein	3.85968500226512	-18.7689467118701	4.27235358102628	-4.39311643006887	1.11737246274652e-05	0.00414783464753117	0.976850903838004
ENSG00000276959	LENG1	CHR_HSCHR19_4_CTG3_1	54156123	54160192	leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]	5.00560133395667	-18.2263432926059	4.30142850975368	-4.2372768142669	2.262471324614e-05	0.00843739951480902	0.797014812376615
ENSG00000228998	AC091167.1	15	90275129	90275716	PERP, TP53 apoptosis effector (PERP) pseudogene	2.50300230714316	-17.9234190054903	3.01035060634267	-5.95393073741193	2.61777625717764e-09	3.3083799825333e-06	0.797014812376615
ENSG00000285238	AC006064.6	12	6556886	6607367	novel transcript	22.8247875691517	-9.14160603195831	4.17324424100319	-2.19052744196942	0.0284860068439452	0.72526633852295	0.976850903838004
ENSG00000254701	AC138866.2	5	70197255	70207745	glucuronidase, beta (GUSB) pseudogene	2.46903631402333	-5.67825767022526	2.56103387001343	-2.21717398458127	0.026611204618966	0.712183687945409	0.976850903838004
ENSG00000285395	AC099494.7	CHR_HG2263_PATCH	17108698	17259501	Xylosyltransferase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q86Y38]	53.6571696516738	-4.9508883785442	2.20583915671957	-2.24444668300609	0.0248036757450776	0.657670997443124	1.17289884334472
ENSG00000221852	KRTAP1-5	17	41026026	41027208	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	102.03352506739	-4.62615694871153	2.19427360244061	-2.10828628825778	0.035006233278663	0.702702193617683	1.33022791376257
ENSG00000264324	AC006030.1	2	74211604	74363377	novel protein	3.18832229079946	-4.59945245044388	1.75466740177254	-2.62126739563154	0.00876035205265362	0.796610734732045	0.216489846640633
ENSG00000255104	AC005324.4	17	15699692	15744778	novel transcript	2.57242026910779	-4.35171736938343	2.16016072391654	-2.01453406739728	0.0439534918553715	0.83854905773842	0.797014812376615
ENSG00000186645	SPDYE17	7	77022925	77062552	speedy/RINGO cell cycle regulator family member E17 [Source:HGNC Symbol;Acc:HGNC:51513]	4.02817755995487	-4.16093433954013	1.61251934968743	-2.58039343239303	0.00986878104019816	0.549796623673164	0.797014812376615
ENSG00000261279	ULK4P1	15	32406597	32434992	ULK4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15775]	3.76858439549413	-4.00951080800909	1.46049022069058	-2.7453184904677	0.00604521978794372	0.442059408006868	0.797014812376615
ENSG00000107742	SPOCK2	10	72059034	72089032	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	4.34585584292625	-4.00863324133064	1.59315937345662	-2.51615331655945	0.011864355928105	0.6530526488298	0.583264727839735
ENSG00000091128	LAMB4	7	108023548	108130361	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]	3.3583012486021	-3.92603550801753	1.84836632859885	-2.12405703743459	0.0336653744244503	0.762921632738684	0.976850903838004
ENSG00000229859	PGA3	11	61203307	61213098	pepsinogen A3 [Source:HGNC Symbol;Acc:HGNC:8885]	3.34357748352166	-3.89812732153711	1.68107036415667	-2.31883650122679	0.0204039032096498	0.697963638306916	0.797014812376615
ENSG00000011677	GABRA3	X	152166234	152451315	gamma-aminobutyric acid type A receptor alpha3 subunit [Source:HGNC Symbol;Acc:HGNC:4077]	12.1755892646608	-3.85881060159024	1.30671025516347	-2.95307286855837	0.00314627684357114	0.26008573158587	1.17289884334472
ENSG00000007314	SCN4A	17	63938554	63972918	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	3.91714508336766	-3.85452681188429	1.3901101321869	-2.77282117627645	0.00555726497535531	0.493570397595579	0.583264727839735
ENSG00000181656	GPR88	1	100538139	100542021	G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]	2.73129422408883	-3.81822390635924	1.51802340662706	-2.51526023227999	0.0118944551551342	0.83854905773842	0.216489846640633
ENSG00000233890	TCF19	CHR_HSCHR6_MHC_DBB_CTG1	31152269	31157938	transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]	519.914387521149	-3.74405485268871	1.79800049516395	-2.08234361601069	0.0373110946491041	0.936748612351778	0.435223694168392
ENSG00000267335	AC008687.1	19	49022953	49036895	novel protein	2.63203657634229	-3.70733000560774	1.72608025811642	-2.14783176400693	0.0317271226758746	0.742593213197496	0.976850903838004
ENSG00000174038	C9orf131	9	35041095	35045986	chromosome 9 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:31418]	5.6604335560527	-3.55681440738701	1.72668164803998	-2.05991325119166	0.0394068346721078	0.772381488436858	1.08307278306212
ENSG00000215328	HSPA1A	CHR_HSCHR6_MHC_QBL_CTG1	31805699	31808181	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5.4187813216895	-3.54428571896148	1.72499800606542	-2.05466076279457	0.0399117822775179	0.781419911227454	1.02647851715202
ENSG00000125285	SOX21	13	94709622	94712545	SRY-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11197]	13.8721349751692	-3.52967731287772	1.4548984759555	-2.42606434140335	0.0152635639426441	0.549796623673164	1.26071894497501
ENSG00000180178	FAR2P1	2	130012065	130040560	fatty acyl-CoA reductase 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49284]	4.03580301074457	-3.40850047182056	1.55808003682192	-2.18762861423539	0.0286966657724722	0.990316094140236	0.216489846640633
ENSG00000166126	AMN	14	102922656	102933596	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	3.3826366250488	-3.33364920592954	1.48885740079392	-2.23906547675546	0.0251516561538791	0.738519455481196	0.797014812376615
ENSG00000250366	TUNAR	14	95876392	95925571	TCL1 upstream neural differentiation-associated RNA [Source:HGNC Symbol;Acc:HGNC:44088]	2.00474500969666	-3.04730250614338	1.45942002051017	-2.0880229565976	0.0367957639188218	0.774439011570367	0.976850903838004
ENSG00000233491	AC008163.1	7	81489204	81691406	novel pseudogene containing cadherin repeats	4.54099097594933	-2.97506431403624	1.25571903503945	-2.36921176713929	0.0178260434889731	0.615342752557652	1.02647851715202
ENSG00000186825	C2orf27B	2	131794961	131801661	chromosome 2 open reading frame 27B [Source:HGNC Symbol;Acc:HGNC:33824]	3.10450365616975	-2.87994936306406	1.2847378591947	-2.24166303067403	0.0249831589318342	0.971996057355313	0.216489846640633
ENSG00000276429	PLCH2	CHR_HSCHR1_1_CTG3	2467459	2505530	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	220.080207918567	-2.77244123045581	0.635837459706038	-4.36029867088607	1.29885038138168e-05	0.00579806983956736	0.744165165654794
ENSG00000173567	ADGRF3	2	26308173	26346817	adhesion G protein-coupled receptor F3 [Source:HGNC Symbol;Acc:HGNC:18989]	14.6424263333139	-2.66208909054309	0.936253686983524	-2.8433416365173	0.00446431888375485	0.33185835456784	0.976850903838004
ENSG00000197550	AL359955.1	9	64817870	64836341	zinc finger pseudogene	3.26571919345509	-2.64930631523057	1.25393491423087	-2.11279412126073	0.0346183930689882	0.814516999104014	0.797014812376615
ENSG00000169031	COL4A3	2	227164624	227314792	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	7.73360099327563	-2.59621332967625	1.17361467697732	-2.21215138205571	0.0269562068421154	0.714156913269215	0.976850903838004
ENSG00000121905	HPCA	1	32885994	32898441	hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]	3.02675617977189	-2.5764595663294	1.14956738765527	-2.24124274400695	0.0250103554830847	0.679678086255627	1.08307278306212
ENSG00000140379	BCL2A1	15	79960892	79971196	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	18.6733756953002	-2.51631083785951	0.839188857958256	-2.99850363121084	0.00271308923249031	0.24242598817147	1.17289884334472
ENSG00000196091	MYBPC1	12	101568353	101686028	myosin binding protein C, slow type [Source:HGNC Symbol;Acc:HGNC:7549]	18.9247331110815	-2.48741121478021	0.827869695089947	-3.00459266661519	0.00265936735431335	0.261162011074658	0.976850903838004
ENSG00000156466	GDF6	8	96142333	96160806	growth differentiation factor 6 [Source:HGNC Symbol;Acc:HGNC:4221]	222.186677336714	-2.38492029776564	0.641520354942796	-3.71760658783509	0.000201119141349574	0.0526893545776453	0.744165165654794
ENSG00000113749	HRH2	5	175658030	175710756	histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]	7.42491020129561	-2.3580917373326	0.943405966356241	-2.49955143535965	0.0124350646231188	0.553113124711763	0.976850903838004
ENSG00000236334	PPIAL4G	1	148479824	148483679	peptidylprolyl isomerase A like 4G [Source:HGNC Symbol;Acc:HGNC:33996]	4.32160082516752	-2.32509845577438	1.06806680917811	-2.17692230092196	0.0294863652031684	0.77393601841222	0.797014812376615
ENSG00000129244	ATP1B2	17	7646627	7657770	ATPase Na+/K+ transporting subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:805]	5.97544666573807	-2.31729352696882	0.960311329550542	-2.4130648630933	0.0158190041133548	0.594718134630655	0.976850903838004
ENSG00000169752	NRG4	15	75935969	76059795	neuregulin 4 [Source:HGNC Symbol;Acc:HGNC:29862]	11.0403502942992	-2.31478628761588	1.08128450748595	-2.14077448774134	0.0322922282803041	0.685261268857834	1.33022791376257
ENSG00000136267	DGKB	7	14145049	14974777	diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]	6.81021855926421	-2.27679298083432	1.12924128238553	-2.0162147951451	0.0437775199910508	0.913340495563367	0.583264727839735
ENSG00000092054	MYH7	14	23412740	23435660	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	50.1404570384268	-2.22520774114364	0.331683085528474	-6.70883695379943	1.96181718697748e-11	2.52719345881922e-08	1.17289884334472
ENSG00000162738	VANGL2	1	160400564	160428670	VANGL planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511]	30.5171410653123	-2.15921860930173	0.728862545395891	-2.96244967304352	0.00305201697977586	0.252035035520302	1.1997664055371
ENSG00000153993	SEMA3D	7	84995553	85186855	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	6.97718361071668	-2.1018287889413	1.03606366472079	-2.02866760075764	0.042492158027036	0.814516999104014	0.976850903838004
ENSG00000120162	MOB3B	9	27325209	27529814	MOB kinase activator 3B [Source:HGNC Symbol;Acc:HGNC:23825]	6.39966139330869	-2.06952062256508	0.932702002375621	-2.21884440828255	0.0264973116325472	0.711733227242886	0.976850903838004
ENSG00000274600	RIMBP3B	22	21383374	21389478	RIMS binding protein 3B [Source:HGNC Symbol;Acc:HGNC:33891]	15.9126832951309	-2.05047639970442	0.901418137844875	-2.27472281022293	0.0229225632508559	0.64486535937752	1.17289884334472
ENSG00000282331	LRRC37A4P	CHR_HSCHR17_2_CTG5	45506393	45561970	leucine rich repeat containing 37 member A4, pseudogene [Source:HGNC Symbol;Acc:HGNC:25479]	38.3359746569278	-2.03408826244381	0.847358641763173	-2.40050453514147	0.0163724878711818	0.570053489499988	1.17289884334472
ENSG00000257093	DENND11	7	141656728	141702166	DENN domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29472]	64.0120598244916	-1.99307773531443	0.602624811871301	-3.30732770382524	0.000941906340532814	0.107883855832158	1.33022791376257
ENSG00000227739	TUBB	CHR_HSCHR6_MHC_COX_CTG1	30710059	30715284	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	20046.4001509391	-1.97304327519517	0.972372767523317	-2.02910174070445	0.0424479286543634	0.99415546381107	0.266406956906851
ENSG00000248477	NAIPP3	5	69607099	69624049	NAIP pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:54493]	7.43270519173885	-1.92613979298005	0.955723948157164	-2.01537253167512	0.0438656303022835	0.83854905773842	0.797014812376615
ENSG00000105409	ATP1A3	19	41966582	41997497	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	7.11622538998961	-1.89790527869361	0.784781506268608	-2.41838685485539	0.0155894929787756	0.707452789425073	0.583264727839735
ENSG00000002587	HS3ST1	4	11393150	11429564	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	22.4980350104533	-1.87172431821114	0.708029586682332	-2.64356794322907	0.00820372990947095	0.396146794620764	1.33022791376257
