ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000283765	AC131160.1	3	183815568	183884889	presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]	2.78399747797752	17.7286564926686	4.26772359393595	4.15412481676634	3.26534907041197e-05	0.0685811949918085	0.300318319972167
ENSG00000256861	AC048338.1	12	122207779	122266423	novel protein	4.58273802626644	16.9720589060171	4.26658891838108	3.97789879238166	6.95269517478688e-05	0.0613957747409555	1
ENSG00000275758	DDTL	CHR_HSCHR22_1_CTG7	23966902	23972534	D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]	4.35722912567448	16.9302485390682	4.26665874740258	3.9680343663235	7.24678854188409e-05	0.12176178591348	0.300318319972167
ENSG00000274049	INO80B-WBP1	2	74455088	74460884	INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]	8.51983348444123	12.2780531084875	4.29714807850185	2.85725622766252	0.00427320731072817	0.778904988973024	0.300904647845884
ENSG00000125954	CHURC1-FNTB	14	64914485	65061803	CHURC1-FNTB readthrough [Source:HGNC Symbol;Acc:HGNC:42960]	15.9512750239758	4.48631572636631	2.26027508854932	1.98485385654792	0.0471607334785356	1	1
ENSG00000188818	ZDHHC11	5	795606	850986	zinc finger DHHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:19158]	5.57428082888639	4.41513215844657	1.11004511590152	3.97743487647422	6.96626930166302e-05	0.12176178591348	0.292215918442185
ENSG00000183873	SCN5A	3	38548057	38649687	sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593]	6.24260444442921	3.8189811056938	1.23028578609891	3.10414145139671	0.00190832071424148	0.603266190896996	0.292215918442185
ENSG00000086548	CEACAM6	19	41750977	41772211	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	2.98330572940445	3.79741322774731	1.38832174665599	2.73525444436351	0.00623320733383813	0.892093927770701	0.292215918442185
ENSG00000228144	AC078927.1	12	66123917	66169985	novel protein	4.13230446398304	3.6718358517311	1.69306373064938	2.16875229517955	0.0301014947713615	1	0.300318319972167
ENSG00000141431	ASXL3	18	33578219	33751195	ASXL transcriptional regulator 3 [Source:HGNC Symbol;Acc:HGNC:29357]	5.45379012171612	3.35494723389728	1.45441387622687	2.30673489075949	0.0210696039069272	1	0.300904647845884
ENSG00000139767	SRRM4	12	118981541	119163051	serine/arginine repetitive matrix 4 [Source:HGNC Symbol;Acc:HGNC:29389]	5.8579507692489	3.24522008089228	1.07669814257339	3.01404818358463	0.00257786861073451	0.655823636474123	0.292215918442185
ENSG00000157087	ATP2B2	3	10324023	10708007	ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]	2.38972558500391	3.15611783482573	1.41480246278447	2.23078339050539	0.0256954806791728	1	0.270870113491537
ENSG00000143546	S100A8	1	153390032	153391073	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	16.3942707919456	3.06070494413943	0.587576748990448	5.20903005334744	1.89830367107515e-07	0.000687003155270413	1.22000681065511
ENSG00000053108	FSTL4	5	133196455	133612541	follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]	2.4175809518206	3.00613963472002	1.47115092674996	2.04339308772427	0.041013541185757	1	1
ENSG00000197540	GZMM	19	544034	549924	granzyme M [Source:HGNC Symbol;Acc:HGNC:4712]	3.28204332467215	2.94274850991718	1.34272006410928	2.19163218646718	0.0284060759186432	1	0.300318319972167
ENSG00000257103	LSM14A	19	34172504	34229515	LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]	104.272726821761	2.89178662074484	0.930907945616103	3.106415230811	0.00189370594824091	0.356020375213111	1.22000681065511
ENSG00000113262	GRM6	5	178977587	178996206	glutamate metabotropic receptor 6 [Source:HGNC Symbol;Acc:HGNC:4598]	3.90535146914304	2.78817375225505	1.13919611259499	2.44749233378601	0.0143854185447094	1	0.270870113491537
ENSG00000126217	MCF2L	13	112894378	113099742	MCF.2 cell line derived transforming sequence like [Source:HGNC Symbol;Acc:HGNC:14576]	3.77426813158954	2.71787457047137	1.32330211461892	2.05385795159411	0.0399894420619943	1	0.292215918442185
ENSG00000273397	NDUFA6	CHR_HSCHR22_2_CTG1	42085525	42090955	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	10.5049079117613	2.56246938577219	1.01228991542287	2.53135919535635	0.011362142617818	1	0.300904647845884
ENSG00000277365	NDUFA6	CHR_HSCHR22_3_CTG1	42085525	42090955	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	10.5049079117613	2.56246938577219	1.01228991542287	2.53135919535635	0.011362142617818	0.719176457088347	1
ENSG00000167644	C19orf33	19	38304164	38305006	chromosome 19 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:16668]	2.72172350168044	2.55977294977495	1.30039804231128	1.96845340156412	0.0490158926901415	1	1
ENSG00000255769	GOLGA2P10	15	82472993	82513950	GOLGA2 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:26229]	7.9833875880683	2.51588083187065	1.0368712581662	2.42641582747717	0.0152487871440223	1	0.292215918442185
ENSG00000176049	JAKMIP2	5	147585438	147782775	janus kinase and microtubule interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29067]	11.9237294121906	2.50392078793906	0.893297436136134	2.80300903892606	0.00506282503921745	0.846413366558897	0.270870113491537
ENSG00000198300	PEG3	19	56810077	56840728	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	14.9139977908546	2.4433045392627	0.740573304070763	3.29920687909274	0.000969584274249813	0.321351571638226	1
ENSG00000258881	AC007040.2	2	70939318	70995336	novel protein	13.8748014276447	2.34115618959365	0.867208209606047	2.69964717084169	0.00694130472903127	0.606735022989795	1
ENSG00000204713	TRIM27	6	28903002	28923988	tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975]	39.2890437725309	2.31422101134957	0.626822230374833	3.69198936988195	0.000222506767108625	0.12176178591348	1
ENSG00000116032	GRIN3B	19	1000419	1009732	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	4.36518233356671	2.2320310957548	1.08545057536807	2.0563175757661	0.0397519152657717	1	0.300318319972167
ENSG00000228520	RING1	CHR_HSCHR6_MHC_DBB_CTG1	33186401	33190628	ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]	179.804090686206	2.18650167523385	0.861120189061111	2.53913646783478	0.0111126467092339	0.66184343210039	1.18614429946936
ENSG00000231115	RING1	CHR_HSCHR6_MHC_MCF_CTG1	33378855	33383082	ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]	179.804090686206	2.18650167523385	0.861120189061111	2.53913646783478	0.0111126467092339	0.635014550021571	1.36916376819475
ENSG00000233913	RPL10P9	5	168616352	168616996	ribosomal protein L10 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35579]	14.9658597528007	2.14827538638821	1.01474866900224	2.11705169172632	0.034255460962061	0.985956778131281	1
ENSG00000057149	SERPINB3	18	63655197	63661893	serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]	4.0563187932983	2.12929516853261	1.01202798789512	2.1039884212701	0.0353794570423423	1	0.270870113491537
ENSG00000166126	AMN	14	102922656	102933596	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	6.67575624970519	2.08991465667596	1.00524071748899	2.079019104893	0.0376155945094938	1	0.270870113491537
ENSG00000227001	NBPF2P	1	21424625	21427967	NBPF member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:31987]	4.51211779489752	2.0875601541489	0.989720905367751	2.1092412445034	0.0349237634931171	0.985956778131281	1
ENSG00000261905	AC217785.1	CHR_HSCHR1_2_CTG31	155225758	155229107	metaxin 1 (MTX1) pseudogene	6.66290854560967	2.02062770105869	0.833145128355865	2.42530098573128	0.0152956995489449	0.792191641448432	1
ENSG00000136928	GABBR2	9	98288109	98708935	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	96.4198373736579	2.02016565333686	0.970126228934023	2.08237401802508	0.0373083197666287	0.985956778131281	1.13891653958705
ENSG00000092929	UNC13D	17	75827225	75844717	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	10.1692954867007	2.00079922025301	0.976630349464929	2.04867606392653	0.0404938012814034	1	1
ENSG00000134121	CHL1	3	196763	409417	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	16.406813708951	1.95634553194083	0.859974320409344	2.27488831411805	0.0229126305422653	0.848303444307559	1.22000681065511
ENSG00000243492	HLA-L	CHR_HSCHR6_MHC_COX_CTG1	30249483	30256765	major histocompatibility complex, class I, L (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4970]	26.6274183651847	1.94730549811369	0.641766209554127	3.03429110028494	0.00241101665518588	0.427961998300547	1
ENSG00000141293	SKAP1	17	48133442	48430275	src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15605]	4.14224474266818	1.93005841924844	0.832740474837565	2.31771899837691	0.0204645978191833	1	0.270870113491537
ENSG00000116183	PAPPA2	1	176463171	176845601	pappalysin 2 [Source:HGNC Symbol;Acc:HGNC:14615]	22.333950176324	1.90868829478858	0.650743682467612	2.93308770597796	0.00335609070529968	0.47878339103854	1
ENSG00000273814	OCLN	CHR_HSCHR5_2_CTG1_1	69492007	69556424	occludin [Source:HGNC Symbol;Acc:HGNC:8104]	7.85092906882872	1.90646408083643	0.890775653513012	2.14022921856674	0.0323362469639072	0.985956778131281	1
ENSG00000065361	ERBB3	12	56076799	56103505	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	8.5256881371225	1.88519205827527	0.943644784030191	1.99777722526463	0.0457408175114298	1	1
ENSG00000183690	EFHC2	X	44147872	44343672	EF-hand domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26233]	6.9616110633491	1.85401291840729	0.688943549057478	2.69109554903839	0.00712177942544518	0.607621963443417	1
ENSG00000204963	PCDHA7	5	140834248	141012347	protocadherin alpha 7 [Source:HGNC Symbol;Acc:HGNC:8673]	3.72551894847037	1.838646320975	0.930606107894726	1.97575140048725	0.0481829402145848	1	0.270870113491537
ENSG00000281216	KIF26B	CHR_HSCHR1_1_CTG32_1	245353678	245713153	kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]	10.3240639280782	1.83583480316948	0.925118681401788	1.98443166274378	0.047207739216923	1	0.292215918442185
ENSG00000119698	PPP4R4	14	94146128	94279734	protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]	97.2258123457876	1.83206370043382	0.58133943625583	3.15145263881184	0.00162460507720037	0.343881967265503	1.22000681065511
ENSG00000148735	PLEKHS1	10	113751262	113783429	pleckstrin homology domain containing S1 [Source:HGNC Symbol;Acc:HGNC:26285]	8.22679445668772	1.82498063912096	0.893932562479526	2.04151936703029	0.0411992308484182	1	0.292215918442185
ENSG00000181781	ODF3L2	19	463346	474983	outer dense fiber of sperm tails 3 like 2 [Source:HGNC Symbol;Acc:HGNC:26841]	8.97484680618157	1.82014522612469	0.642219969181813	2.83414610798159	0.00459483187163935	0.792191641448432	0.300904647845884
ENSG00000164530	PI16	6	36948263	36964837	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	7.97600644970424	1.71293468013089	0.861670019820278	1.98792419456368	0.0468200744497796	1	0.270870113491537
ENSG00000172156	CCL11	17	34285742	34288334	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	8.69197435297931	1.69771339383213	0.865957881787973	1.96050342578649	0.0499369779624618	1	0.292215918442185
ENSG00000274296	DECR2	CHR_HSCHR16_CTG2	401826	412487	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	39.6541115779931	1.65218442531667	0.546301145482827	3.02431074688019	0.00249200330466225	0.432489304824891	1
ENSG00000188312	CENPP	9	92325953	92620529	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	51.1364888108688	1.65045093151411	0.513110745909296	3.2165588903996	0.00129737903938604	0.343881967265503	1
ENSG00000186907	RTN4RL2	11	57460528	57477534	reticulon 4 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:23053]	8.81695283626464	1.64673339318963	0.691306851398241	2.38205854586706	0.0172161601096735	0.819088678777574	1
ENSG00000275544	BDH1	CHR_HSCHR3_2_CTG3	197506664	197557450	3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]	12.8309119567141	1.59577001447145	0.646746298430391	2.46738175130538	0.0136105166928343	0.767589842199737	1
ENSG00000277060	NLRP2	CHR_HSCHR19LRC_PGF1_CTG3_1	54894717	54929555	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]	81.3889219634738	1.56472957523497	0.706539915900471	2.21463719178661	0.0267849770874079	0.939398108861399	1
ENSG00000231784	DBIL5P	17	752660	755336	diazepam binding inhibitor-like 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:38519]	7.79720780503542	1.50936603803014	0.628972547424248	2.39973277722733	0.0164070443447838	0.815589085088404	1
