ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
ENSG00000269711	AC008763.3	19	7678501	7682854	novel protein	13.6005531968769	13.7861317213407	4.30435941033532	3.20283006299112	0.00136084257338899	0.163816553683358	0.317086863880644
ENSG00000136872	ALDOB	9	101420560	101449664	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	92.7397650983458	7.09675647027628	0.508185588430359	13.9648912362827	2.55294886818794e-44	8.80324036771266e-40	0.262900443448543
ENSG00000237674	GSTA7P	6	52739590	52744656	glutathione S-transferase alpha 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:4631]	5.48399022832196	6.86362781630657	1.3967560860593	4.91397738288801	8.92470498664972e-07	0.0021624296708804	0.152713543768218
ENSG00000205236	AC105052.1	7	102582523	102642869	novel protein, UPK3BL-RASA4 readthrough	16.5707256602866	6.73263732224788	2.17942971921963	3.08917386180206	0.00200713942329708	0.200126955889815	0.317086863880644
ENSG00000143546	S100A8	1	153390032	153391073	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	6.31360345149732	6.71802901324772	1.27816905956636	5.25597843490822	1.47239544079006e-07	0.000280093287768671	0.353004105506935
ENSG00000005421	PON1	7	95297676	95324532	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	5.41221656371639	6.53243689056058	1.25834999426969	5.19127184035299	2.08862419656281e-07	0.00079991310852361	0.152713543768218
ENSG00000163220	S100A9	1	153357854	153361023	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	6.07826098886101	6.46457414476144	1.30126261293295	4.96792429176981	6.76733715647254e-07	0.00182507323260778	0.160070015132755
ENSG00000151224	MAT1A	10	80271820	80289658	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	14.0352374817728	6.04127462286398	1.25542811054886	4.8121231093215	1.49335312465945e-06	0.00121958684728325	0.637429684440238
ENSG00000277132	UGT2B15	CHR_HSCHR4_1_CTG9	68529322	68553341	UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]	2.86106110259216	5.96539269920599	2.60667414431614	2.2885072582676	0.0221079979119389	1	0.000783111978165027
ENSG00000138115	CYP2C8	10	95036772	95069497	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	2.93094865629456	5.95840856119429	1.73033026343194	3.44350941962743	0.000574216590653578	0.0970161763993046	0.353004105506935
ENSG00000145321	GC	4	71741696	71804041	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	6.82973761221109	5.91141879137013	1.23157667208145	4.79987882636605	1.58761659320197e-06	0.0032696006554009	0.160070015132755
ENSG00000171759	PAH	12	102836889	102958410	phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]	5.12936361066864	5.62549161600989	1.29308938256048	4.35042750476437	1.35872371635134e-05	0.00840947599898087	0.353004105506935
ENSG00000171557	FGG	4	154604134	154612967	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	12.3867501751983	5.39364872519089	1.15512063733017	4.6693380335211	3.02171822267545e-06	0.00164617202938982	0.858430272908792
ENSG00000240520	UOX	1	84363706	84397831	urate oxidase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12575]	5.97775809012944	5.28191959538118	1.07332101141442	4.92109959574974	8.60593194848329e-07	0.00211910193375641	0.160070015132755
ENSG00000256069	A2MP1	12	9228533	9275817	alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]	8.8929276300074	5.26792717477533	1.21407105413489	4.33906002192689	1.43093440474311e-05	0.111371450045326	0.00672543925688762
ENSG00000134240	HMGCS2	1	119748002	119768905	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	6.80765139768938	5.23665652124036	1.21308136057875	4.31682217814475	1.58291576085027e-05	0.119533790235958	0.00672543925688762
ENSG00000171564	FGB	4	154562956	154571086	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	12.2326515064217	5.20787710303207	1.17709460132878	4.42434881372584	9.67336180596048e-06	0.00840947599898087	0.2453642742532
ENSG00000117601	SERPINC1	1	173903804	173917378	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	20.3753254875957	4.98316733514046	0.662711822656317	7.5193578336458	5.50459374479152e-14	3.49724670834056e-10	0.317086863880644
ENSG00000213107	AHCYP5	2	195582794	195584031	adenosylhomocysteinase pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:44997]	2.47263745710045	4.8819878603637	1.58175067699901	3.08644588009666	0.00202564817540046	1	0.000783111978165027
ENSG00000151365	THRSP	11	78063861	78068351	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]	2.26836597047372	4.86983116650534	1.99342648446894	2.44294495154291	0.0145679591873022	1	0.000783111978165027
ENSG00000100033	PRODH	22	18912777	18936553	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	3.05686458586073	4.74657201592424	1.39481533912345	3.40301105299512	0.000666475843014549	1	0.000783111978165027
ENSG00000271159	HINT1P2	7	95018163	95018397	histidine triad nucleotide binding protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38049]	2.85918190787867	4.61816684481638	1.35179581352095	3.41631983072036	0.00063473650276869	1	0.000783111978165027
ENSG00000141524	TMC6	17	78110458	78132407	transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]	2.90971323961764	4.42783728466623	1.50773082699735	2.93675582231363	0.0033166513736234	0.329252739625871	0.160070015132755
ENSG00000180210	F2	11	46719196	46739506	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	3.89662825589447	4.41859679859635	1.36540481195628	3.2361075337545	0.00121171726950438	0.219600362205633	0.160070015132755
ENSG00000118137	APOA1	11	116835751	116837950	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	46.2865335687554	4.38509930997749	0.417617246049117	10.5002830976519	8.61214553858358e-26	3.13212848474836e-22	0.997065168433561
ENSG00000258064	AC073612.1	12	71674204	71698968	novel protein	7.37502870720365	4.3706824488293	1.7698030291881	2.46958694088932	0.0135269143988925	0.419088213778619	0.353004105506935
ENSG00000163993	S100P	4	6693878	6697170	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	2.76693072495657	4.36668514241453	1.39638413773601	3.12713745767289	0.00176517376442255	0.837871435266822	0.00672543925688761
ENSG00000169562	GJB1	X	71215194	71225516	gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]	5.27266702793366	4.35665905672713	1.45675274339901	2.99066473460817	0.00278370936003494	0.304939935602629	0.160284436624269
ENSG00000281178	MLXIP	CHR_HG2247_PATCH	122078746	122143107	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	36.4172572999273	4.24880741001678	1.71959136671704	2.47082387842433	0.0134802190080048	0.273591500377094	0.997065168433561
ENSG00000215583	ASS1P6	Y	11922536	11923769	argininosuccinate synthetase 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:769]	3.90532143830357	4.24511869649352	1.42235474084388	2.98457098963574	0.00283976298241987	0.225235380833208	0.353004105506935
ENSG00000047457	CP	3	149162410	149221829	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	5.71088825017308	4.08492813977929	1.13125521718102	3.61096954757789	0.000305054482671761	0.104884645838494	0.160284436624269
ENSG00000183246	RIMBP3C	22	21545357	21551461	RIMS binding protein 3C [Source:HGNC Symbol;Acc:HGNC:33892]	8.34539960353997	4.0816845460038	1.70557800336068	2.39313859463549	0.016704929597982	0.606288741735782	0.160284436624269
ENSG00000216519	AL023284.1	6	136317961	136318236	eukaryotic translation elongation factor 1 alpha 1 (EEF1A1) pseudogene	2.01650470264928	3.9780652270978	1.88275876252641	2.11289162811266	0.0346100445947692	0.780615593411298	0.160070015132755
ENSG00000235817	AL158214.1	1	230612009	230612412	ribosomal protein S24 (RPS24) pseudogene	4.03593588261804	3.89496641829279	1.19522259743007	3.25877909827644	0.00111892755643166	1	0.000783111978165027
ENSG00000158104	HPD	12	121839527	121863596	4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]	12.5466259176603	3.87597943636313	0.77729111408837	4.98652225158781	6.1475829134352e-07	0.000463727762010656	0.858430272908792
ENSG00000134121	CHL1	3	196763	409417	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	4.16865937613875	3.85161967235067	1.55127018473083	2.48288126095776	0.0130324520855017	0.479265950189019	0.239481675072969
ENSG00000158578	ALAS2	X	55009055	55030977	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	2.34795952256221	3.69695378920497	1.57003543208695	2.35469449520055	0.0185379395687369	1	0.000783111978165027
ENSG00000104760	FGL1	8	17864380	17910365	fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]	3.31705072152707	3.67852575581035	1.76603440676063	2.08292983518805	0.0372576196321415	0.699243892038471	0.239481675072969
ENSG00000165092	ALDH1A1	9	72900671	73080442	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	3.21246576327461	3.65958444417851	1.4275920800081	2.56346647997497	0.0103632707175223	0.512485747637697	0.160070015132755
ENSG00000113924	HGD	3	120628172	120682269	homogentisate 1,2-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4892]	6.30713068136723	3.64362856479089	1.01495009203219	3.58995835696256	0.000330730793746376	0.457465400451305	0.00672543925688762
ENSG00000131482	G6PC	17	42900797	42914438	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]	17.1448292915764	3.57314665464046	0.871238839221959	4.10122516786715	4.10968412711151e-05	0.0193533676961159	0.340718103371896
ENSG00000121089	NACA3P	4	164943290	164943937	NACA family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:33442]	4.47752635307933	3.54651861089893	1.07638718343818	3.29483541375019	0.000984793403209899	1	0.000783111978165027
ENSG00000148584	A1CF	10	50799409	50885675	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	3.42236465242701	3.48047153674409	1.27588127147969	2.72789609389567	0.0063739682139077	1	0.00672543925688761
